variant,train_size,test_size,delta_iqm,ci_low,ci_high
embed_dim128,4,4,0.0,0.0,0.0
embed_dim128,4,8,-0.0027005753745901564,-0.11721743657687429,0.07724196337963345
embed_dim128,4,16,-0.07814329163158373,-0.16851407411942987,0.005646685805227129
embed_dim128,4,32,-0.12355138752150603,-0.31994875319982313,0.048792211838315946
embed_dim128,4,50,-0.13802245260592763,-0.38256496599911977,0.04240704403086867
embed_dim128,4,100,-0.18809216638254225,-0.39946360017917054,-0.036663769327153206
embed_dim128,16,4,0.17367730265286227,0.022600158197963054,0.3561105265038267
embed_dim128,16,8,0.06578359907459151,-0.025031782025898952,0.14299603887041276
embed_dim128,16,16,0.0,0.0,0.0
embed_dim128,16,32,-0.1022317280382094,-0.21296219398899627,0.04696844139105435
embed_dim128,16,50,-0.18015807416840657,-0.31627296657539516,0.04584917044552236
embed_dim128,16,100,-0.2612492308563044,-0.5269004181041815,0.04532020982474394
embed_dim128,50,4,0.4333016768853302,0.4169662948237824,0.4634745284344501
embed_dim128,50,8,0.3224723020805114,0.2731333673775224,0.3592804436000046
embed_dim128,50,16,0.23528781707976276,0.18232946153501448,0.32141935492509305
embed_dim128,50,32,0.1251539221256323,0.07403938590442273,0.205653617881408
embed_dim128,50,50,0.0,0.0,0.0
embed_dim128,50,100,-0.11870043818894127,-0.14860836760238752,-0.10938433577693367
embed_dim128,100,4,0.6359989622752158,0.5240637952519083,0.7729494055229319
embed_dim128,100,8,0.49462973572398017,0.4309905987939078,0.6068894807374186
embed_dim128,100,16,0.3978018443097415,0.31117664753891927,0.5185801827620777
embed_dim128,100,32,0.23302816196509343,0.17494950846307342,0.32469723500491343
embed_dim128,100,50,0.1273649077059907,0.10663338835086955,0.1839491179907219
embed_dim128,100,100,0.0,0.0,0.0
embed_dim16,4,4,0.0,0.0,0.0
embed_dim16,4,8,0.22642079499683518,0.05556332930023563,0.3741046659402458
embed_dim16,4,16,0.36862446098936824,0.03411395231553053,0.5664370923995886
embed_dim16,4,32,0.43944101864915525,-0.0400811882203157,0.6645694153121079
embed_dim16,4,50,0.34935739456719855,-0.052291109601767305,0.6552240728211604
embed_dim16,4,100,0.12476130905098433,-0.058353189674995476,0.5518841637924647
embed_dim16,16,4,0.37066876617057587,0.3318317619215268,0.46423634208297065
embed_dim16,16,8,0.23913962584505655,0.15889225175833618,0.2557299228330268
embed_dim16,16,16,0.0,0.0,0.0
embed_dim16,16,32,-0.07021552172094499,-0.12026465115863243,-0.01700684568396375
embed_dim16,16,50,-0.09223796007984515,-0.14920976322592205,-0.018086835390722495
embed_dim16,16,100,-0.10000108321236452,-0.17933606313549,-0.017878337174509595
embed_dim16,50,4,0.5319735405199967,0.44095324562731397,0.5940141529923718
embed_dim16,50,8,0.39260271325517654,0.32278144389659635,0.42307654906323955
embed_dim16,50,16,0.25736229727769183,0.17063050948459035,0.3389372592010502
embed_dim16,50,32,0.10040974312276235,0.06594215409568138,0.1433720493517617
embed_dim16,50,50,0.0,0.0,0.0
embed_dim16,50,100,-0.1144496970111748,-0.18953857043502867,-0.03002502892511098
embed_dim16,100,4,0.6566003801425819,0.28160972071943025,0.7356099899724701
embed_dim16,100,8,0.5235626486217638,0.2085379551565453,0.6381228633560877
embed_dim16,100,16,0.4296709656708184,0.1873135303713669,0.5580478441385263
embed_dim16,100,32,0.32548758378625015,0.16041883296033152,0.4080929736883691
embed_dim16,100,50,0.18425989172683388,0.08174877550380327,0.25952203554053493
embed_dim16,100,100,0.0,0.0,0.0
embed_dim32,4,4,0.0,0.0,0.0
embed_dim32,4,8,0.11513218383641555,0.03098666425324681,0.2800743583882757
embed_dim32,4,16,0.1437109370622777,-0.018418621849622025,0.43265651792057325
embed_dim32,4,32,0.03790860782765574,-0.1066936997744905,0.3680616346009089
embed_dim32,4,50,0.0005173964308290794,-0.1389333704467642,0.2084757732865291
embed_dim32,4,100,-0.04181942797922478,-0.14700800945091422,0.005290891398928725
embed_dim32,16,4,0.3079654234948048,0.21321776147446117,0.40625425592743675
embed_dim32,16,8,0.18640946125167623,0.0805901132877576,0.2576059838128251
embed_dim32,16,16,0.0,0.0,0.0
embed_dim32,16,32,-0.04588290793917308,-0.1291064760678048,-0.004003240393380736
embed_dim32,16,50,-0.07564073036061698,-0.17987169952611182,-0.00536200789991607
embed_dim32,16,100,-0.11682697597562512,-0.26733195339926313,-0.00915420466523468
embed_dim32,50,4,0.4299565632394495,0.3404281578446846,0.5350934193940228
embed_dim32,50,8,0.2873338106905233,0.21734218513582235,0.4154248705582418
embed_dim32,50,16,0.20351402909861602,0.1545112861373934,0.33660194173040786
embed_dim32,50,32,0.09642560233123404,0.08359646214974054,0.1527433155392177
embed_dim32,50,50,0.0,0.0,0.0
embed_dim32,50,100,-0.19245813579191515,-0.27215100116164725,-0.10901168178671528
embed_dim32,100,4,0.49377894854971255,0.4088296031856918,0.604918195475852
embed_dim32,100,8,0.41170282273792685,0.3779268249010979,0.4397726858233108
embed_dim32,100,16,0.3300992360450352,0.29847045567577574,0.3980802340028906
embed_dim32,100,32,0.24600283051219343,0.17817236818323035,0.37825104286164457
embed_dim32,100,50,0.16707140247656557,0.10640888213393429,0.26890811160585526
embed_dim32,100,100,0.0,0.0,0.0
embed_dim4,4,4,0.0,0.0,0.0
embed_dim4,4,8,-0.13067003024970994,-0.2873640405140502,0.062047523221714064
embed_dim4,4,16,-0.16709955509691463,-0.37422801748999884,0.059727152152714215
embed_dim4,4,32,-0.2436211771925758,-0.3909236399636691,0.02293287990935781
embed_dim4,4,50,-0.2871563816410317,-0.3955413350053441,0.00410063041974662
embed_dim4,4,100,-0.2932584255499286,-0.3976643777505006,-0.02026289375407553
embed_dim4,16,4,0.44831419131299954,0.22245271380864787,0.5559016667858868
embed_dim4,16,8,0.22253726275902472,0.08152203990834798,0.27409809627473675
embed_dim4,16,16,0.0,0.0,0.0
embed_dim4,16,32,-0.07187385425305497,-0.14422487218408986,-0.008873144119898405
embed_dim4,16,50,-0.09062719651791569,-0.1599569546413939,-0.010593564896652233
embed_dim4,16,100,-0.11498655102448407,-0.2229169257655581,-0.010993631391106725
embed_dim4,50,4,0.5421750262273022,0.4607215961100907,0.6324724931670286
embed_dim4,50,8,0.41723050743667267,0.34413115223185464,0.5055229074291466
embed_dim4,50,16,0.2594631343822466,0.1740056317865668,0.3207296051331416
embed_dim4,50,32,0.08129451549178934,0.025249173135967307,0.1959698242004394
embed_dim4,50,50,0.0,0.0,0.0
embed_dim4,50,100,-0.021451836915237926,-0.1650902136756052,-0.006804679597489427
embed_dim4,100,4,0.6962596312712007,0.5836274173884916,0.715621442790194
embed_dim4,100,8,0.5559223313153536,0.41252336402243034,0.6003971461160386
embed_dim4,100,16,0.35447367325614215,0.17969191482089017,0.530318403274778
embed_dim4,100,32,0.19649813231455618,0.06555604558095991,0.44860558373353454
embed_dim4,100,50,0.08004824873002021,0.0129857514241107,0.28635688216422656
embed_dim4,100,100,0.0,0.0,0.0
embed_dim64,4,4,0.0,0.0,0.0
embed_dim64,4,8,0.12394210535202337,0.007632928854897081,0.3808399814494268
embed_dim64,4,16,0.21487252469361898,0.04521778596311458,0.30054387944732874
embed_dim64,4,32,0.0994791903191552,-0.01629820264169805,0.26187079284806203
embed_dim64,4,50,0.039576316456011486,-0.06203813202248698,0.18735835854752836
embed_dim64,4,100,-0.010125317038597129,-0.07894924768565052,0.0246877980222856
embed_dim64,16,4,0.30493789125345344,0.1835868084737425,0.5403745640295533
embed_dim64,16,8,0.10884480756127968,0.07217575454320524,0.17252568267780066
embed_dim64,16,16,0.0,0.0,0.0
embed_dim64,16,32,-0.09720217130541091,-0.22367190962307468,-0.014834555071475242
embed_dim64,16,50,-0.13658900097555038,-0.25974180349110926,-0.017850458760523973
embed_dim64,16,100,-0.1719923661725743,-0.27567443901491523,-0.01936672963072757
embed_dim64,50,4,0.4184808294434081,0.24527096566572734,0.4875218054631269
embed_dim64,50,8,0.29973491052850404,0.1253344953125148,0.3976469060053818
embed_dim64,50,16,0.22977290125267782,0.15532462947558964,0.3085561349218145
embed_dim64,50,32,0.12684702065607098,0.10111126736076677,0.16763487541657793
embed_dim64,50,50,0.0,0.0,0.0
embed_dim64,50,100,-0.23261396604657433,-0.4897363011184504,-0.10811244241608131
embed_dim64,100,4,0.6463774851657477,0.6078783788911845,0.7415182073400807
embed_dim64,100,8,0.49945158749640156,0.46221710460974413,0.5600698488803761
embed_dim64,100,16,0.3939797069826869,0.3486466009922429,0.4390428578008982
embed_dim64,100,32,0.27117100257557586,0.1704612397242099,0.3438301342766481
embed_dim64,100,50,0.1646251515034993,0.08465048471199836,0.21926735638681152
embed_dim64,100,100,0.0,0.0,0.0
embed_dim8,4,4,0.0,0.0,0.0
embed_dim8,4,8,0.027642688001922638,-0.10223369749829174,0.24924507163755527
embed_dim8,4,16,0.0203594038981089,-0.10909823580595264,0.16201636721043322
embed_dim8,4,32,-0.025567936039428085,-0.14305500893663892,0.007209881553392343
embed_dim8,4,50,-0.043770590992326976,-0.15325984856155028,-0.008328096139583888
embed_dim8,4,100,-0.06903528252993185,-0.16240854097219634,-0.01104499431871934
embed_dim8,16,4,0.4693220894402869,0.4173192191445847,0.503907766415269
embed_dim8,16,8,0.10047086880685625,0.06461801074723757,0.2220528547600855
embed_dim8,16,16,0.0,0.0,0.0
embed_dim8,16,32,-0.0016246587095025689,-0.02761923883625143,0.0035558652812932947
embed_dim8,16,50,-0.001487808036982452,-0.029111369094410477,0.0025101337042723326
embed_dim8,16,100,-0.002447394319643322,-0.029064697851390136,-3.722311110206563e-05
embed_dim8,50,4,0.5331715804816202,0.4246536667310165,0.6049333775797551
embed_dim8,50,8,0.4053981477428958,0.2994490373911228,0.4919734482590948
embed_dim8,50,16,0.22912171363951936,0.1633971610778867,0.3706922034396956
embed_dim8,50,32,0.09750557677898963,0.02713547721323047,0.15591692115008396
embed_dim8,50,50,0.0,0.0,0.0
embed_dim8,50,100,-0.07382500697303222,-0.1867896328959068,-0.002394928002061573
embed_dim8,100,4,0.5704096779089048,0.5398129103381026,0.6535784870691485
embed_dim8,100,8,0.4782994419228668,0.41164046607100496,0.6087601416741825
embed_dim8,100,16,0.4066936282429703,0.33295133952052824,0.5497723039427836
embed_dim8,100,32,0.27358459401631263,0.1519270475165516,0.4365450314094019
embed_dim8,100,50,0.13779920812667526,0.06559552393992214,0.23023922435327518
embed_dim8,100,100,0.0,0.0,0.0
