variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
embed_dim128,1,4,-105.42100020715036,,,,3.021132905483246,224.2020202020202,232.2,0.99
embed_dim128,1,8,-79.76585499960929,,,,3.4058620285987855,182.27631578947367,384.29,0.76
embed_dim128,1,16,-65.3845184439607,,,,3.37205974817276,259.58620689655174,580.64,0.58
embed_dim128,1,32,-48.85561235269532,,,,3.3742227363586426,367.0933333333333,531.32,0.75
embed_dim128,1,50,-50.8500481983833,,,,3.1598120617866514,265.16326530612247,652.17,0.49
embed_dim128,1,100,-16.313202541144566,,,,3.0850549483299257,109.51724137931035,228.4,0.87
embed_dim128,2,4,-169.9306092138309,,,,3.4219230103492735,344.7263157894737,378.69,0.95
embed_dim128,2,8,-69.82015900356696,,,,2.5620543789863586,234.61,234.61,1.0
embed_dim128,2,16,-80.44889207422733,,,,2.5460364818573,328.17,328.17,1.0
embed_dim128,2,32,-111.56792764559388,,,,3.2463398678134188,557.3736263736264,599.37,0.91
embed_dim128,2,50,-92.89791251320392,,,,5.260116536617279,383.69565217391306,582.19,0.69
embed_dim128,2,100,-5.589854832878336,,,,3.1266151785850527,60.5,60.5,1.0
embed_dim128,3,4,-239.8646869364381,,,,7.583580112457275,,1024.0,0.0
embed_dim128,3,8,-270.921991375722,,,,11.586495051383972,574.5769230769231,907.15,0.26
embed_dim128,3,16,-83.67525750473607,,,,3.2544955658912658,347.62105263157895,381.44,0.95
embed_dim128,3,32,-17.933928437782452,,,,3.054864344596863,108.68,108.68,1.0
embed_dim128,3,50,-7.995419432232157,,,,3.0658155941963194,58.36,58.36,1.0
embed_dim128,3,100,-2.6970940194977446,,,,2.9911618065834045,25.69,25.69,1.0
embed_dim128,4,4,-338.5878460347652,,,,12.627919960021973,,1024.0,0.0
embed_dim128,4,8,-355.3653264723346,,,,15.630157749652863,578.3846153846154,966.07,0.13
embed_dim128,4,16,-160.09678745130077,,,,4.819002027511597,468.9879518072289,563.34,0.83
embed_dim128,4,32,-42.848102113259955,,,,3.121580801010132,192.13131313131314,200.45,0.99
embed_dim128,4,50,-10.311917333928868,,,,3.046243634223938,66.94,66.94,1.0
embed_dim128,4,100,-3.0457765691448,,,,3.002016727370445,28.39,28.39,1.0
embed_dim128,5,4,-498.31561302036044,,,,23.223402366638183,,1024.0,0.0
embed_dim128,5,8,-328.77301163226366,,,,15.533473358154296,,1024.0,0.0
embed_dim128,5,16,-220.55848812803626,,,,10.391198370456696,,1024.0,0.0
embed_dim128,5,32,-73.49060513557866,,,,3.6320476055145265,398.0348837209302,485.67,0.86
