config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,0,-571.632282845676,1024,False,,,,28.88787078857422,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,1,-569.4968168735504,1024,False,,,,44.275245666503906,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,2,-610.3672175556421,1024,False,,,,34.38987731933594,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,3,-606.1407012194395,1024,False,,,,24.199949264526367,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,4,-624.2279951572418,1024,False,,,,30.290346145629883,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,5,-565.0506094768643,1024,False,,,,37.018131256103516,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,6,-610.3818673044443,1024,False,,,,36.97013473510742,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,7,-654.9078551232815,1024,False,,,,29.41703987121582,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,8,-609.8415837287903,1024,False,,,,35.04078674316406,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,9,-594.2056969925761,1024,False,,,,19.359912872314453,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,10,-598.0305849015713,1024,False,,,,30.871749877929688,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,11,-591.0189152657986,1024,False,,,,22.675783157348633,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,12,-569.7727864012122,1024,False,,,,17.361127853393555,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,13,-584.6373195648193,1024,False,,,,15.544995307922363,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,14,-571.9731612131,1024,False,,,,7.634063720703125,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,15,-648.8577668070793,1024,False,,,,38.735347747802734,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,16,-603.5329810231924,1024,False,,,,18.300827026367188,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,17,-551.1224002540112,1024,False,,,,18.832876205444336,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,18,-586.7317717820406,1024,False,,,,29.046287536621094,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,0,19,-629.6636151373386,1024,False,,,,38.0969123840332,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,0,-604.2702611237764,1024,False,,,,33.396419525146484,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,1,-512.3060200810432,1024,False,,,,46.31621551513672,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,2,-624.1524681448936,1024,False,,,,31.083593368530273,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,3,-525.5185711197555,1024,False,,,,32.90770721435547,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,4,-624.2309645414352,1024,False,,,,37.63163375854492,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,5,-612.2835477292538,1024,False,,,,42.218589782714844,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,6,-583.058985516429,1024,False,,,,42.131744384765625,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,7,-616.3407084047794,1024,False,,,,33.337650299072266,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,8,-630.2033204734325,1024,False,,,,18.847095489501953,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,9,-607.0661179274321,1024,False,,,,22.693553924560547,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,10,-620.4100882411003,1024,False,,,,43.7735595703125,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,11,-605.793294981122,1024,False,,,,36.006004333496094,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,12,-631.104184307158,1024,False,,,,46.70685577392578,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,13,-575.0282739549875,1024,False,,,,24.95623207092285,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,14,-618.0585625171661,1024,False,,,,33.091957092285156,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,15,-569.0400397926569,1024,False,,,,24.12512969970703,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,16,-616.8092769682407,1024,False,,,,37.066490173339844,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,17,-598.7419426813722,1024,False,,,,24.43400764465332,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,18,-620.4079589694738,1024,False,,,,23.23079490661621,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,1,19,-596.5701654404402,1024,False,,,,24.848142623901367,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,0,-665.7913918495178,1024,False,,,,32.016902923583984,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,1,-578.8394181132317,1024,False,,,,23.747426986694336,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,2,-592.3969039320946,1024,False,,,,21.151952743530273,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,3,-555.7890767045319,1024,False,,,,24.515005111694336,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,4,-571.0004916898906,1024,False,,,,31.726743698120117,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,5,-558.0394635498524,1024,False,,,,31.999624252319336,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,6,-588.0390683412552,1024,False,,,,32.881900787353516,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,7,-633.5261449590325,1024,False,,,,18.014421463012695,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,8,-636.5219361931086,1024,False,,,,19.344877243041992,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,9,-638.849583029747,1024,False,,,,42.59014892578125,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,10,-533.9297612383962,1024,False,,,,21.727466583251953,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,11,-576.9379585087299,1024,False,,,,28.932968139648438,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,12,-617.6631712466478,1024,False,,,,18.624059677124023,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,13,-621.6150022596121,1024,False,,,,30.667667388916016,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,14,-583.0230938121676,1024,False,,,,33.92470932006836,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,15,-586.2905013561249,1024,False,,,,42.798492431640625,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,16,-620.7010124325752,1024,False,,,,40.579288482666016,
embedding_scaling_pursuit_evasion_50agents_ppo,embed_dim4,1,50,4,2,17,-606.1688322722912,1024,False,,,,29.172679901123047,
