variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,1,4,-493.5133847384155,,,,21.708342628479002,,1024.0,0.0
phi1_w128,1,8,-346.1689304422587,,,,15.820903449058532,,1024.0,0.0
phi1_w128,1,16,-234.15200135547667,,,,11.087561390399934,470.25,957.55,0.12
phi1_w128,1,32,-92.23983492133208,,,,4.037798025608063,396.5357142857143,496.93,0.84
phi1_w128,1,50,-30.09584995172918,,,,3.1086881017684935,200.32,200.32,1.0
phi1_w128,1,100,-9.694551744228228,,,,3.0445228008308796,82.41,82.41,1.0
phi1_w128,2,4,-671.2157111569494,,,,28.329559803009033,,1024.0,0.0
phi1_w128,2,8,-487.77167007893325,,,,22.93891830444336,,1024.0,0.0
phi1_w128,2,16,-367.30811323244126,,,,18.055319905281067,,1024.0,0.0
phi1_w128,2,32,-259.003401844576,,,,13.456696238517761,682.2142857142857,976.15,0.14
phi1_w128,2,50,-136.51020536130295,,,,6.250606873035431,421.48387096774195,650.44,0.62
phi1_w128,2,100,-32.95657798526808,,,,3.232181031294543,210.0,234.42,0.97
phi1_w128,3,4,-644.6835214575381,,,,29.3857954788208,,1024.0,0.0
phi1_w128,3,8,-438.37681018516423,,,,21.12190788269043,,1024.0,0.0
phi1_w128,3,16,-319.44784378457814,,,,15.451937665939331,,1024.0,0.0
phi1_w128,3,32,-186.9931391963642,,,,8.363803806304931,497.84615384615387,818.8,0.39
phi1_w128,3,50,-79.77603013143874,,,,3.6958596181869505,381.53846153846155,439.36,0.91
phi1_w128,3,100,-17.560923594878986,,,,3.096387360095978,133.13,133.13,1.0
phi1_w128,4,4,-577.5769244032354,,,,26.576303558349608,,1024.0,0.0
phi1_w128,4,8,-405.1358980521932,,,,19.605114946365358,,1024.0,0.0
phi1_w128,4,16,-295.85561872832477,,,,13.665803596973419,879.8,1016.79,0.05
phi1_w128,4,32,-120.437939039357,,,,4.9974818658828735,433.7142857142857,569.48,0.77
phi1_w128,4,50,-48.16330981546081,,,,3.144724416732788,276.050505050505,283.53,0.99
phi1_w128,4,100,-12.0432402069401,,,,2.9049274150771325,95.44,95.44,1.0
phi1_w128,5,4,-817.1976226498186,,,,40.48827127456665,,1024.0,0.0
phi1_w128,5,8,-611.3073108908534,,,,31.14721628189087,,1024.0,0.0
phi1_w128,5,16,-441.52019879179073,,,,21.179521379470824,746.0,1021.22,0.01
phi1_w128,5,32,-294.5611487077177,,,,14.585378828048706,684.8333333333334,1003.65,0.06
phi1_w128,5,50,-197.07823429049924,,,,9.480015699863435,533.9354838709677,872.08,0.31
phi1_w128,5,100,-46.72586676543578,,,,3.1983411002159117,268.4315789473684,306.21,0.95
phi1_w32,1,4,-612.720000679195,,,,29.389908208847046,,1024.0,0.0
phi1_w32,1,8,-470.44868089269846,,,,22.28955574989319,,1024.0,0.0
phi1_w32,1,16,-339.1108576998673,,,,15.805015108585359,526.6428571428571,954.37,0.14
phi1_w32,1,32,-172.26851857363246,,,,7.47341112613678,353.75,621.85,0.6
phi1_w32,1,50,-52.65469187685289,,,,3.858583984375,202.72916666666666,235.58,0.96
phi1_w32,1,100,-7.209340266294312,,,,3.0661243356839574,49.64,49.64,1.0
phi1_w32,2,4,-879.7042681323737,,,,43.93219638824463,,1024.0,0.0
phi1_w32,2,8,-737.5955833084881,,,,37.57087724685669,,1024.0,0.0
phi1_w32,2,16,-641.9296648713946,,,,34.07129692077637,,1024.0,0.0
phi1_w32,2,32,-558.0421303220094,,,,31.051617164611816,,1024.0,0.0
phi1_w32,2,50,-510.7435011805221,,,,29.390604076385497,,1024.0,0.0
phi1_w32,2,100,-418.8653288252279,,,,26.696343147754668,71.6,976.38,0.05
phi1_w32,3,4,-834.7741889960319,,,,44.441068954467774,,1024.0,0.0
phi1_w32,3,8,-653.9094593214244,,,,34.821701488494874,,1024.0,0.0
phi1_w32,3,16,-534.2409202263132,,,,30.014968395233154,,1024.0,0.0
phi1_w32,3,32,-442.0082754526846,,,,26.09369252681732,589.0,1019.65,0.01
phi1_w32,3,50,-334.31097934620453,,,,21.73700409889221,315.5,924.81,0.14
phi1_w32,3,100,-173.7739783744514,,,,11.849793638845886,229.61702127659575,650.64,0.47
phi1_w32,4,4,-544.6787615829707,,,,26.063521461486815,,1024.0,0.0
phi1_w32,4,8,-367.4069299990684,,,,16.737000036239625,,1024.0,0.0
phi1_w32,4,16,-257.9177485323511,,,,12.060771169662475,709.1,992.51,0.1
phi1_w32,4,32,-111.69995143527166,,,,4.872403602600098,414.8378378378378,573.22,0.74
phi1_w32,4,50,-39.86940956857521,,,,3.200196855068207,233.1122448979592,248.93,0.98
phi1_w32,4,100,-8.220491680223494,,,,3.0650795102119446,70.71,70.71,1.0
phi1_w32,5,4,-592.1387203016133,,,,27.182534732818603,,1024.0,0.0
phi1_w32,5,8,-436.89315594341605,,,,21.426848096847536,927.0,1023.03,0.01
phi1_w32,5,16,-314.137340021329,,,,15.09683300256729,414.6666666666667,969.16,0.09
phi1_w32,5,32,-171.07878022897057,,,,6.743115859031677,426.0892857142857,689.17,0.56
phi1_w32,5,50,-54.80628947552294,,,,3.496049990653992,242.89473684210526,281.95,0.95
phi1_w32,5,100,-6.254952264502645,,,,2.9638675607816136,52.47,52.47,1.0
phi1_w64,1,4,-670.1325016590953,,,,30.15964846611023,,1024.0,0.0
phi1_w64,1,8,-514.8651409011707,,,,26.609685604572295,494.0,1018.7,0.01
phi1_w64,1,16,-375.4152330023795,,,,17.50056696176529,489.09090909090907,965.16,0.11
phi1_w64,1,32,-204.15157500579954,,,,9.290246386528015,440.2857142857143,697.12,0.56
phi1_w64,1,50,-87.0185652692942,,,,3.932860511721987,304.0,390.4,0.88
phi1_w64,1,100,-17.554764259532092,,,,2.9856066101729266,127.21,127.21,1.0
phi1_w64,2,4,-564.9664386878908,,,,26.807136516571045,,1024.0,0.0
phi1_w64,2,8,-399.7627944368869,,,,18.81549754142761,,1024.0,0.0
phi1_w64,2,16,-309.7828147163615,,,,14.867509109973907,817.0,1013.65,0.05
phi1_w64,2,32,-198.1555060457252,,,,9.024980311441903,503.0769230769231,820.84,0.39
phi1_w64,2,50,-97.46237216579728,,,,4.2574289965629575,378.93975903614455,488.6,0.83
phi1_w64,2,100,-16.790343366395682,,,,3.209705195426941,121.0,121.0,1.0
phi1_w64,3,4,-647.9347576101125,,,,27.00976836204529,,1024.0,0.0
phi1_w64,3,8,-461.9071348237246,,,,21.747626643180848,,1024.0,0.0
phi1_w64,3,16,-340.61952967796475,,,,15.808226211071014,694.0,1017.4,0.02
phi1_w64,3,32,-202.74853574279695,,,,9.06053638458252,490.5833333333333,831.97,0.36
phi1_w64,3,50,-125.8162283315882,,,,5.584692544937134,477.07142857142856,641.15,0.7
phi1_w64,3,100,-30.050522362962365,,,,3.162674241595798,224.89,224.89,1.0
phi1_w64,4,4,-942.5851854515075,,,,54.69190788269043,,1024.0,0.0
phi1_w64,4,8,-790.825965789482,,,,45.28309225082398,,1024.0,0.0
phi1_w64,4,16,-615.7355786114186,,,,36.71250520229339,,1024.0,0.0
phi1_w64,4,32,-462.72227685179564,,,,28.928184928894044,7.0,1013.83,0.01
phi1_w64,4,50,-387.821506482549,,,,26.011866550445557,,1024.0,0.0
phi1_w64,4,100,-263.6368720192276,,,,17.57777310381032,215.1875,894.59,0.16
phi1_w64,5,4,-830.6548826026916,,,,38.508165760040285,,1024.0,0.0
phi1_w64,5,8,-639.1173411203921,,,,28.355883054733276,,1024.0,0.0
phi1_w64,5,16,-404.720291017741,,,,16.490991172790526,,1024.0,0.0
phi1_w64,5,32,-270.63337972931566,,,,12.679013500213623,,1024.0,0.0
phi1_w64,5,50,-218.69581119067968,,,,11.577107229232787,,1024.0,0.0
phi1_w64,5,100,-182.03937958702446,,,,11.980142459869384,,1024.0,0.0
phi2_w128,1,4,-918.0071741060913,,,,47.401118450164795,,1024.0,0.0
phi2_w128,1,8,-739.2401993444562,,,,36.91387359619141,,1024.0,0.0
phi2_w128,1,16,-537.7986451302842,,,,26.71544457435608,,1024.0,0.0
phi2_w128,1,32,-368.9263781213015,,,,18.15813172340393,,1024.0,0.0
phi2_w128,1,50,-299.698350539878,,,,15.260097136497498,,1024.0,0.0
phi2_w128,1,100,-183.58714175462723,,,,9.33724627494812,301.93333333333334,915.69,0.15
phi2_w128,2,4,-907.6046605507285,,,,45.749662475585936,,1024.0,0.0
phi2_w128,2,8,-732.1846254764497,,,,36.116898727416995,,1024.0,0.0
phi2_w128,2,16,-524.3719919918477,,,,25.90821307182312,,1024.0,0.0
phi2_w128,2,32,-375.1616854581982,,,,18.438085536956788,,1024.0,0.0
phi2_w128,2,50,-291.4407745091617,,,,14.226362590789796,,1024.0,0.0
phi2_w128,2,100,-206.32100704140962,,,,10.224196834564209,2.0,1013.78,0.01
phi2_w128,3,4,-864.2840577080846,,,,42.37270195007324,,1024.0,0.0
phi2_w128,3,8,-645.6971084888279,,,,32.253586044311525,,1024.0,0.0
phi2_w128,3,16,-467.1538372323662,,,,23.338601789474488,,1024.0,0.0
phi2_w128,3,32,-326.69272869829086,,,,15.6958460354805,938.0,1023.14,0.01
phi2_w128,3,50,-252.2097760610655,,,,12.315165781974793,332.0,1003.24,0.03
phi2_w128,3,100,-125.83194314731286,,,,6.152905077934265,404.48979591836735,720.44,0.49
phi2_w128,4,4,-869.944237702787,,,,43.11197565078735,,1024.0,0.0
phi2_w128,4,8,-653.2174526371807,,,,31.07359833717346,,1024.0,0.0
phi2_w128,4,16,-457.91559426926074,,,,21.37674632549286,,1024.0,0.0
phi2_w128,4,32,-328.6228877466172,,,,15.832145013809203,,1024.0,0.0
phi2_w128,4,50,-253.31896657557226,,,,12.057238342761993,423.75,999.99,0.04
phi2_w128,4,100,-118.46848220438696,,,,5.765546386241913,413.875,682.33,0.56
phi2_w128,5,4,-916.871921024248,,,,45.07774356842041,,1024.0,0.0
phi2_w128,5,8,-732.9409798258544,,,,36.25358121871948,,1024.0,0.0
phi2_w128,5,16,-540.6014002914354,,,,26.441944580078125,,1024.0,0.0
phi2_w128,5,32,-386.41210414454343,,,,19.026190872192384,,1024.0,0.0
phi2_w128,5,50,-315.54674160957336,,,,15.495469951629639,,1024.0,0.0
phi2_w128,5,100,-209.5797545555979,,,,10.069184517860412,189.0,1015.65,0.01
phi2_w32,1,4,-705.3014902449399,,,,30.907431077957153,,1024.0,0.0
phi2_w32,1,8,-528.6410658065975,,,,24.34524667739868,,1024.0,0.0
phi2_w32,1,16,-414.3663385445252,,,,20.52859043598175,,1024.0,0.0
phi2_w32,1,32,-305.440965491496,,,,15.513652616077,497.25,981.86,0.08
phi2_w32,1,50,-203.79915867757052,,,,10.358663125038147,340.45454545454544,798.43,0.33
phi2_w32,1,100,-56.73913113145158,,,,4.158212275505066,247.87640449438203,333.25,0.89
phi2_w32,2,4,-932.2745308474451,,,,46.021591625213624,,1024.0,0.0
phi2_w32,2,8,-725.6011055653543,,,,35.54526378631592,,1024.0,0.0
phi2_w32,2,16,-526.7629699075222,,,,25.79674620628357,,1024.0,0.0
phi2_w32,2,32,-381.8896221533045,,,,18.834201483726503,,1024.0,0.0
phi2_w32,2,50,-303.98371844530107,,,,15.039257774353027,,1024.0,0.0
phi2_w32,2,100,-208.80109701562674,,,,10.475618107318878,,1024.0,0.0
phi2_w32,3,4,-909.468890691474,,,,44.88835941314697,,1024.0,0.0
phi2_w32,3,8,-701.0147635185718,,,,33.92188436508179,,1024.0,0.0
phi2_w32,3,16,-533.4999978382886,,,,25.822978963851927,,1024.0,0.0
phi2_w32,3,32,-379.2762205341458,,,,17.948593378067017,,1024.0,0.0
phi2_w32,3,50,-297.65489692002535,,,,14.404592580795288,,1024.0,0.0
phi2_w32,3,100,-202.24277323860676,,,,9.254134380456174,560.3333333333334,1010.09,0.03
phi2_w32,4,4,-912.6154672155529,,,,46.10955358505249,,1024.0,0.0
phi2_w32,4,8,-813.5130410733074,,,,42.79553562164307,,1024.0,0.0
phi2_w32,4,16,-706.7642559027672,,,,39.4535587310791,,1024.0,0.0
phi2_w32,4,32,-602.4548983118683,,,,37.046216564178465,,1024.0,0.0
phi2_w32,4,50,-531.6731196616962,,,,35.12374190807343,175.0,1015.51,0.01
phi2_w32,4,100,-373.3574216362182,,,,29.1820671413884,78.5625,872.73,0.16
phi2_w32,5,4,-795.4610821741819,,,,41.159527177810666,,1024.0,0.0
phi2_w32,5,8,-588.4048661166802,,,,31.137681865692137,,1024.0,0.0
phi2_w32,5,16,-462.29796013751996,,,,25.210758821964262,818.5,1019.89,0.02
phi2_w32,5,32,-345.2055868711136,,,,17.74013000011444,522.0,963.76,0.12
phi2_w32,5,50,-226.19760495383292,,,,11.203717432022096,452.8205128205128,801.24,0.39
phi2_w32,5,100,-68.17722853854299,,,,4.495598928928375,264.81176470588235,378.69,0.85
phi2_w64,1,4,-944.2143162064999,,,,48.49107082366943,,1024.0,0.0
phi2_w64,1,8,-862.8448001862317,,,,44.664645500183106,,1024.0,0.0
phi2_w64,1,16,-795.695320854634,,,,42.56418704986572,,1024.0,0.0
phi2_w64,1,32,-735.9477580986172,,,,40.8111625289917,,1024.0,0.0
phi2_w64,1,50,-696.5827602274344,,,,39.564605712890625,1.0,1013.77,0.01
phi2_w64,1,100,-652.0737309781834,,,,37.6698264336586,12.0,1013.88,0.01
phi2_w64,2,4,-825.8005356584489,,,,39.178175621032715,,1024.0,0.0
phi2_w64,2,8,-617.0530381218344,,,,28.98116617202759,,1024.0,0.0
phi2_w64,2,16,-441.3461603084207,,,,21.669504051208495,,1024.0,0.0
phi2_w64,2,32,-303.67254170985893,,,,13.79727433681488,605.0,1011.43,0.03
phi2_w64,2,50,-236.4296479662694,,,,11.758840839862824,391.0,986.02,0.06
phi2_w64,2,100,-90.09729921242223,,,,4.633713042736053,385.2,544.9,0.75
phi2_w64,3,4,-926.1524347279221,,,,55.15007373809814,,1024.0,0.0
phi2_w64,3,8,-690.055028295964,,,,36.77069695472717,,1024.0,0.0
phi2_w64,3,16,-521.5141071513667,,,,31.213416438102723,,1024.0,0.0
phi2_w64,3,32,-372.3888293401897,,,,23.179153933525086,596.3333333333334,972.68,0.12
phi2_w64,3,50,-229.2879087388702,,,,14.757830476760864,493.2857142857143,801.1,0.42
phi2_w64,3,100,-87.24433169014752,,,,6.185308853785197,314.3205128205128,470.45,0.78
phi2_w64,4,4,-787.7234294066578,,,,34.278337497711185,,1024.0,0.0
phi2_w64,4,8,-576.1580878423899,,,,27.33448010444641,,1024.0,0.0
phi2_w64,4,16,-411.3246285585314,,,,21.476883058547973,720.0,1020.96,0.01
phi2_w64,4,32,-281.31356205845253,,,,14.44470281124115,626.8571428571429,968.4,0.14
phi2_w64,4,50,-195.01906832383946,,,,9.879938135147095,570.9736842105264,851.85,0.38
phi2_w64,4,100,-60.003722442928705,,,,3.4920000338554384,372.1521739130435,424.3,0.92
phi2_w64,5,4,-859.0401713519916,,,,43.33887086868286,,1024.0,0.0
phi2_w64,5,8,-681.0270121436938,,,,33.55734077453613,,1024.0,0.0
phi2_w64,5,16,-479.09283305600286,,,,23.229907932281495,,1024.0,0.0
phi2_w64,5,32,-333.9794097452611,,,,16.66646397590637,,1024.0,0.0
phi2_w64,5,50,-255.11547553848476,,,,12.738002138137817,668.6666666666666,1002.68,0.06
phi2_w64,5,100,-112.53221277319827,,,,5.607883544883343,398.0655737704918,642.18,0.61
phi4_w128,1,4,-867.2109385549277,,,,41.86901721954346,,1024.0,0.0
phi4_w128,1,8,-657.1954188524187,,,,32.827739276885985,,1024.0,0.0
phi4_w128,1,16,-489.806048232764,,,,23.909629678726198,,1024.0,0.0
phi4_w128,1,32,-355.126506559588,,,,16.82196427822113,,1024.0,0.0
phi4_w128,1,50,-270.169020662494,,,,13.27932322025299,95.0,1014.71,0.01
phi4_w128,1,100,-152.36313623075372,,,,7.343260603721696,367.53333333333336,827.06,0.3
phi4_w128,2,4,-937.8728015320003,,,,51.944033737182615,,1024.0,0.0
phi4_w128,2,8,-724.8416164118051,,,,37.28819787979126,,1024.0,0.0
phi4_w128,2,16,-531.3585375808179,,,,26.490845174789428,,1024.0,0.0
phi4_w128,2,32,-371.11519005972895,,,,18.54625072479248,,1024.0,0.0
phi4_w128,2,50,-294.1380414355174,,,,14.506055326461793,39.0,1014.15,0.01
phi4_w128,2,100,-186.66435373691843,,,,9.09886543750763,407.6666666666667,931.55,0.15
phi4_w128,3,4,-907.3807923469692,,,,45.587618598937986,,1024.0,0.0
phi4_w128,3,8,-728.7914735426009,,,,35.86063047409058,,1024.0,0.0
phi4_w128,3,16,-517.0265440284461,,,,25.421414728164674,,1024.0,0.0
phi4_w128,3,32,-390.7473133981228,,,,19.06235866546631,,1024.0,0.0
phi4_w128,3,50,-304.78136615023016,,,,15.073951869010925,,1024.0,0.0
phi4_w128,3,100,-202.55310303159058,,,,9.993580877780914,2.0,1013.78,0.01
