config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,0,-664.1518609672785,1024,False,,,,34.81854248046875,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,1,-653.8369937837124,1024,False,,,,22.914846420288086,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,2,-617.8606069386005,1024,False,,,,28.623210906982422,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,3,-644.5553679764271,1024,False,,,,44.57785415649414,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,4,-563.4892350286245,1024,False,,,,27.840757369995117,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,5,-632.2723705470562,1024,False,,,,40.166507720947266,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,6,-595.4986610114574,1024,False,,,,19.33861541748047,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,7,-585.7072687745094,1024,False,,,,33.73273468017578,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,8,-627.2842751145363,1024,False,,,,30.634145736694336,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,9,-629.1303264200687,1024,False,,,,24.484941482543945,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,10,-595.3525764197111,1024,False,,,,31.895761489868164,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,11,-595.6677221357822,1024,False,,,,26.898345947265625,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,12,-619.3395059257746,1024,False,,,,14.382308959960938,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,13,-594.1458530575037,1024,False,,,,30.055801391601562,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,14,-615.6800718307495,1024,False,,,,23.973541259765625,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,15,-627.5281221866608,1024,False,,,,25.983362197875977,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,16,-618.1407920718193,1024,False,,,,30.718891143798828,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,17,-590.7170719951391,1024,False,,,,36.24229049682617,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,18,-594.0428619682789,1024,False,,,,26.936756134033203,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,19,-558.3726050406694,1024,False,,,,30.62177276611328,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,20,-589.3111736923456,1024,False,,,,17.356168746948242,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,21,-652.7216848433018,1024,False,,,,26.59206771850586,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,22,-607.9502426832914,1024,False,,,,26.20155906677246,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,23,-615.189098149538,1024,False,,,,16.91021156311035,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,24,-583.5635139346123,1024,False,,,,32.7447395324707,
architecture_scalability_pursuit_evasion_50agents,phi1_w32,1,50,4,0,25,-581.0581790953875,1024,False,,,,33.86328887939453,
