variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi1_w128,1,4,-111.67819521028548,,,,2.537853865623474,249.77,249.77,1.0,4
phi1_w128,1,8,-192.04747251592576,,,,4.575032598972321,514.3076923076923,626.44,0.78,4
phi1_w128,1,16,-83.38255555744283,,,,3.374649486541748,370.13483146067415,442.06,0.89,4
phi1_w128,1,32,-13.931949026556685,,,,3.0707903265953065,95.71,95.71,1.0,4
phi1_w128,1,50,-7.309127038549632,,,,2.943046836853027,54.89,54.89,1.0,4
phi1_w128,1,100,-2.3664567103423177,,,,2.8926816492369682,23.48,23.48,1.0,4
phi1_w128,2,4,-275.3474315309338,,,,6.491866412162781,476.8125,586.25,0.8,4
phi1_w128,2,8,-286.73068637817863,,,,11.311011092662811,530.0487804878048,821.48,0.41,4
phi1_w128,2,16,-90.16441528725437,,,,3.5805820178985597,319.9157894736842,355.12,0.95,4
phi1_w128,2,32,-17.904676364026965,,,,3.057910943031311,98.6,98.6,1.0,4
phi1_w128,2,50,-8.669114828635939,,,,3.0031760846725617,60.77,60.77,1.0,4
phi1_w128,2,100,-2.8866650435421617,,,,2.976503440311977,28.45,28.45,1.0,4
phi1_w128,3,4,-258.806544177616,,,,6.0638103556633,431.29761904761904,526.13,0.84,4
phi1_w128,3,8,-302.3991294458881,,,,14.845777945518494,,1024.0,0.0,4
phi1_w128,3,16,-300.93907757146286,,,,15.637501459121705,131.85714285714286,961.55,0.07,4
phi1_w128,3,32,-111.24286232935265,,,,7.678438839912414,43.183098591549296,327.62,0.71,4
phi1_w128,3,50,-33.29842655659653,,,,4.288257131576538,34.15217391304348,113.34,0.92,4
phi1_w128,3,100,-1.8798726231092586,,,,2.8319676518440247,18.49,18.49,1.0,4
phi1_w128,4,4,-284.9333207815886,,,,7.636063761711121,,1024.0,0.0,4
phi1_w128,4,8,-291.0519521085452,,,,10.930807902812958,522.0425531914893,788.08,0.47,4
phi1_w128,4,16,-67.31435816979035,,,,3.2415671515464783,230.48979591836735,246.36,0.98,4
phi1_w128,4,32,-20.058433269374074,,,,2.9602022409439086,101.57,101.57,1.0,4
phi1_w128,4,50,-6.227825403525494,,,,2.9178372550010683,43.11,43.11,1.0,4
phi1_w128,4,100,-2.3270556468330326,,,,2.9477992997025,21.63,21.63,1.0,4
phi1_w128,5,4,-88.41470491772517,,,,2.5622473311424256,217.15,217.15,1.0,4
phi1_w128,5,8,-150.59293743614109,,,,4.740541014671326,442.9625,559.17,0.8,4
phi1_w128,5,16,-116.61746735953726,,,,4.713229289054871,415.4179104477612,616.25,0.67,4
