variant,train_size,test_size,delta_iqm,ci_low,ci_high
phi1_w128,4,4,0.0,0.0,0.0
phi1_w128,4,8,0.1002105816076806,0.06955177541864892,0.132877453113644
phi1_w128,4,16,-0.007034034805123694,-0.1741363421704947,0.13146305417210424
phi1_w128,4,32,-0.10010526842436485,-0.21378479391066188,-0.013900955541746566
phi1_w128,4,50,-0.136461962849212,-0.22470454677551152,-0.018296962018680512
phi1_w128,4,100,-0.15261649397063473,-0.22708670163034436,-0.0190808707686602
phi1_w128,16,4,0.3129754083679929,0.1815617404219836,0.5062839766019437
phi1_w128,16,8,0.19526017993099942,0.11164970904804376,0.2934673232631036
phi1_w128,16,16,0.0,0.0,0.0
phi1_w128,16,32,-0.11266258417347592,-0.2274144169692922,-0.05380687043140139
phi1_w128,16,50,-0.1714115845038351,-0.31510684981101944,-0.07672473135658837
phi1_w128,16,100,-0.22594113311099231,-0.3600490014454842,-0.07915968969809684
phi1_w128,50,4,0.5001036031536401,0.44463608809233174,0.5436056558184985
phi1_w128,50,8,0.3659057721920973,0.33680073207935496,0.40129694872156335
phi1_w128,50,16,0.2568946873404295,0.23323041102201317,0.2762092450307094
phi1_w128,50,32,0.1139252725378882,0.08209835956255551,0.14777216131597656
phi1_w128,50,50,0.0,0.0,0.0
phi1_w128,50,100,-0.09140677072030923,-0.18693507630234887,-0.032160426019423705
phi1_w128,100,4,0.7141414139979853,0.6431486795289014,0.8352274797824076
phi1_w128,100,8,0.6018828476499893,0.5365804522542428,0.7847363344439678
phi1_w128,100,16,0.4570857112776093,0.3606841172739075,0.6173675298143383
phi1_w128,100,32,0.308660860165419,0.20383004034306115,0.43955548109512704
phi1_w128,100,50,0.16915523194247908,0.13709358423060583,0.3169019079199816
phi1_w128,100,100,0.0,0.0,0.0
phi1_w32,4,4,0.0,0.0,0.0
phi1_w32,4,8,0.021206850503129832,-0.12967193124056794,0.14370432786599685
phi1_w32,4,16,0.005756269324580769,-0.17088103880321737,0.05978979999309745
phi1_w32,4,32,-0.010836696977562843,-0.14509539969043117,0.04512663057568256
phi1_w32,4,50,-0.01313973473678609,-0.14001764457697938,0.03914974351135703
phi1_w32,4,100,-0.020321858483157262,-0.16152009208749152,0.01825315383362532
phi1_w32,16,4,0.2777446772015797,0.2491853005375826,0.45291086586675844
phi1_w32,16,8,0.16380382418666414,0.14079732588105934,0.19019509818754535
phi1_w32,16,16,0.0,0.0,0.0
phi1_w32,16,32,-0.14122116000828602,-0.1851416137445008,-0.013437813594721884
phi1_w32,16,50,-0.20085125885038413,-0.2439019304609894,-0.025033830675247264
phi1_w32,16,100,-0.2197506858417331,-0.25638015992618385,-0.03355375824698977
phi1_w32,50,4,0.4500896420304161,0.23675464211428254,0.5219429942261105
phi1_w32,50,8,0.33847411677614003,0.16596111775930592,0.43516761121670067
phi1_w32,50,16,0.23975101061090653,0.10466013072137832,0.3194393060583913
phi1_w32,50,32,0.1201370743521404,0.046098613035404114,0.1537686480691792
phi1_w32,50,50,0.0,0.0,0.0
phi1_w32,50,100,-0.07227401426266437,-0.17136217426874437,-0.04773153752255092
phi1_w32,100,4,0.7135900144313748,0.5714397346611128,0.8245186284129163
phi1_w32,100,8,0.6228397670457487,0.46779105475829885,0.7321913682758371
phi1_w32,100,16,0.4710680927898679,0.3287311462304234,0.6324461295907147
phi1_w32,100,32,0.28434259458664063,0.16532875935075064,0.39161140541777445
phi1_w32,100,50,0.143606154201543,0.06250193678214422,0.23732404674600915
phi1_w32,100,100,0.0,0.0,0.0
phi1_w64,4,4,0.0,0.0,0.0
phi1_w64,4,8,0.07342603377313206,-0.02804612344742478,0.21119005137731794
phi1_w64,4,16,0.15989902254414293,-0.03238855003376292,0.4547240309648615
phi1_w64,4,32,0.08484675954376945,-0.12733424304039445,0.3714086320843311
phi1_w64,4,50,0.06523562189253884,-0.21392622992342228,0.29018287810501686
phi1_w64,4,100,0.021135452740998706,-0.2451320201213761,0.1690005446130232
phi1_w64,16,4,0.2502186909929187,0.14113067264329385,0.3412988494180376
phi1_w64,16,8,0.1422638437871219,0.09804771916340732,0.20625537522923723
phi1_w64,16,16,0.0,0.0,0.0
phi1_w64,16,32,-0.1428371576219407,-0.20983308613465937,-0.06382513341081493
phi1_w64,16,50,-0.2057022208154761,-0.28655875083519794,-0.0897534469050713
phi1_w64,16,100,-0.26835961823279947,-0.3312918220504852,-0.09510626734727338
phi1_w64,50,4,0.4723331125298393,0.4138121101777514,0.5422155039232502
phi1_w64,50,8,0.369438913532079,0.31025518449003403,0.44197294177478
phi1_w64,50,16,0.22194663846137627,0.18837353065353202,0.29563912583382784
phi1_w64,50,32,0.09605632483299954,0.05725697796634338,0.14175769205252228
phi1_w64,50,50,0.0,0.0,0.0
phi1_w64,50,100,-0.11255503150762458,-0.14466276324802843,-0.053075060403070605
phi1_w64,100,4,0.6011710802351142,0.5022809101603579,0.6772516131799037
phi1_w64,100,8,0.49099180011943133,0.4330795880751534,0.556081507054006
phi1_w64,100,16,0.3514065638860295,0.31862724279451177,0.4408429351726258
phi1_w64,100,32,0.2335228738174158,0.14969814196976405,0.3159598671749125
phi1_w64,100,50,0.14011389486470116,0.05564919449070871,0.20633466616625898
phi1_w64,100,100,0.0,0.0,0.0
phi2_w128,4,4,0.0,0.0,0.0
phi2_w128,4,8,-0.056727837720971376,-0.07873074997058253,0.04342414200231345
phi2_w128,4,16,-0.14665693633152743,-0.2251805653714104,-0.056576834613716355
phi2_w128,4,32,-0.21476416782540894,-0.27099222055623934,-0.08324022031641372
phi2_w128,4,50,-0.24683022727550444,-0.3123120127872669,-0.124916310377019
phi2_w128,4,100,-0.25278030201074936,-0.39745273352574806,-0.17049519893034804
phi2_w128,16,4,0.24843887666543316,0.19325029980655592,0.35255769475732396
phi2_w128,16,8,0.15603906606270734,0.10486617812293413,0.2031842207842056
phi2_w128,16,16,0.0,0.0,0.0
phi2_w128,16,32,-0.13947931731246702,-0.1525104780366852,-0.12160151426479844
phi2_w128,16,50,-0.20533621864882176,-0.23147649512667903,-0.17627588682686265
phi2_w128,16,100,-0.26811888115128907,-0.3217747928028123,-0.18655759573754446
phi2_w128,50,4,0.5194974848318986,0.5005363858924262,0.528101340882913
phi2_w128,50,8,0.3991937723485492,0.3787486097609261,0.4243851665645629
phi2_w128,50,16,0.21879493039425846,0.20188773643014368,0.23323414305385945
phi2_w128,50,32,0.07655417217283728,0.06917391714886624,0.08633229752664233
phi2_w128,50,50,0.0,0.0,0.0
phi2_w128,50,100,-0.14792798407084382,-0.17569611157630557,-0.10993163241316824
phi2_w128,100,4,0.6457357976640984,0.6242727215208587,0.7384075630411848
phi2_w128,100,8,0.5384266868098398,0.5172971380244543,0.5990000313991164
phi2_w128,100,16,0.3804230436318609,0.33966512637847907,0.4393910009301106
phi2_w128,100,32,0.24502906166797903,0.20769224326671956,0.2803069304675706
phi2_w128,100,50,0.13721408636760388,0.11811969063751089,0.18665844869420076
phi2_w128,100,100,0.0,0.0,0.0
phi2_w32,4,4,0.0,0.0,0.0
phi2_w32,4,8,-0.011790201820354099,-0.03486960456560698,0.03703623935073045
phi2_w32,4,16,-0.016761258758181907,-0.0979289778819229,0.06481236675772817
phi2_w32,4,32,-0.009496191653706854,-0.19061517881175719,0.039298066287131395
phi2_w32,4,50,-0.026840015359811325,-0.20847957993257119,0.00406146982239138
phi2_w32,4,100,-0.03756009846661901,-0.21566889578475157,-0.022379855517194718
phi2_w32,16,4,0.3264706625261303,0.2093095828400872,0.4826655490918877
phi2_w32,16,8,0.1796852020505648,0.147898877617574,0.24346680817373487
phi2_w32,16,16,0.0,0.0,0.0
phi2_w32,16,32,-0.13926406403116412,-0.15835110624131596,-0.04254799174749422
phi2_w32,16,50,-0.18504557829725665,-0.22284055489077906,-0.05640390621128499
phi2_w32,16,100,-0.1964936380014913,-0.34592818238384143,-0.06426477760175915
phi2_w32,50,4,0.4704899216593213,0.2556261490295229,0.5210029794355083
phi2_w32,50,8,0.34155623205804675,0.21952380848544176,0.3922930166590579
phi2_w32,50,16,0.21953850379407291,0.15165756762312155,0.2389898495278561
phi2_w32,50,32,0.0954956833410483,0.06329697161247456,0.13495773155920276
phi2_w32,50,50,0.0,0.0,0.0
phi2_w32,50,100,-0.1696413330416152,-0.2132257469716771,-0.11461616324677763
phi2_w32,100,4,0.668885356914983,0.6394894123998974,0.704364141139956
phi2_w32,100,8,0.5721141451694054,0.5298055993205604,0.6106085138929916
phi2_w32,100,16,0.3944150893037799,0.34890556917027743,0.4749276437855401
phi2_w32,100,32,0.23341931311121775,0.20537608640588326,0.27767443238232425
phi2_w32,100,50,0.11500207802444391,0.08652172415630983,0.14662285559205682
phi2_w32,100,100,0.0,0.0,0.0
phi2_w64,4,4,0.0,0.0,0.0
