variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,1,4,-63.31020861275494,10.390034155845642,14.238137378692628,14.906542057394981,,,500.0,0.0
phi1_w128,1,8,-66.81691365249455,9.94197039604187,15.59352925300598,14.094966759681702,,,500.0,0.0
phi1_w128,1,16,-74.50973793171346,9.807085695266723,16.40892114639282,19.308517062067985,,,500.0,0.0
phi1_w128,1,32,-89.145756893605,9.77810214996338,17.02316481590271,13.660232843030244,,,500.0,0.0
phi1_w128,1,50,-102.6917948038876,9.757322511672974,17.166892614364624,13.261491007614136,,,500.0,0.0
phi1_w128,1,100,-142.03898241505027,9.686875972747803,17.308512611389162,14.392413387393951,,,500.0,0.0
phi1_w128,2,4,-7.026129529671744,1.7153287076950072,2.6673506689071655,2.9645777444541452,,,38.68,1.0
phi1_w128,2,8,-10.7414366963692,1.4683005142211913,2.6980708718299864,2.6919435262540357,,,82.67,1.0
phi1_w128,2,16,-17.557851658482104,1.3978118085861206,2.793873908519745,3.0974441378423943,,,235.76,0.9
phi1_w128,2,32,-30.42234711866826,1.2417874014377595,2.716423387527466,3.4830107292253523,,,401.62,0.36
phi1_w128,2,50,-42.63089189499617,1.1813942396640777,2.7350838470458982,2.368890647484362,,,461.24,0.15
phi1_w128,2,100,-70.9606406044215,1.1573023229837418,2.8170469760894776,2.7030202253751456,,,477.15,0.09
phi1_w128,3,4,-7.702464665323496,1.5157770311832428,2.7190143513679503,1.2984901463938876,,,37.07,1.0
phi1_w128,3,8,-10.99868525216356,0.9671296179294586,2.6663898277282714,2.144397550505819,,,52.22,1.0
phi1_w128,3,16,-14.301913140323013,0.7023985067009926,2.7198895478248595,0.5725742807122879,,,65.81,1.0
phi1_w128,3,32,-16.449957457911225,0.5560621950030327,2.798095157146454,1.1848570982331876,,,71.18,1.0
phi1_w128,3,50,-20.32084228746593,0.47560213834047316,2.634618384838104,1.097481810090691,,,80.29,1.0
phi1_w128,3,100,-27.58895946890116,0.40003236532211306,2.761444852352142,0.7727451981850899,,,89.94,1.0
phi1_w128,4,4,-13.146877306438983,1.3256565642356872,2.122671115398407,1.6681628082040698,,,83.27,1.0
phi1_w128,4,8,-16.265006970595568,1.0781437695026397,2.0957418274879456,2.9163183061953166,,,102.93,1.0
phi1_w128,4,16,-20.503461576402188,0.9944893437623977,2.077895374298096,0.7203766229975735,,,119.07,1.0
phi1_w128,4,32,-24.370706020444633,0.935798003077507,2.0752679967880248,1.7583427895978092,,,130.6,1.0
phi1_w128,4,50,-29.58267691254616,0.9066073489189148,2.062022337913513,2.7671336439389735,,,141.38,1.0
phi1_w128,4,100,-37.56351619668305,0.8613152188062668,2.0685539841651917,2.7989667527042332,,,150.79,1.0
phi1_w128,5,4,-189.6393209965527,38.21864151000977,52.699404106140136,32.562080887258055,,,500.0,0.0
phi1_w128,5,8,-192.3714822822809,36.626203556060794,61.65794017791748,35.00435170851648,,,500.0,0.0
phi1_w128,5,16,-195.88700178921223,36.02852649688721,64.25651580810546,35.57618747361004,,,500.0,0.0
