variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi1_w128,1,4,-5.214485476952977,1.7681802463531495,2.9151620864868164,1.0740072068758308,,,28.64,1.0,4
phi1_w128,1,8,-7.337858393136412,1.3517907816171646,2.6590892124176024,3.469242805351969,,,39.37,1.0,4
phi1_w128,1,16,-10.248191326595842,1.1672951221466064,2.4715889644622804,0.8281977068260312,,,106.81,0.9,4
phi1_w128,1,32,-21.60892621651292,1.099889448285103,2.4484285044670107,2.575808542671148,,,305.34,0.44,4
phi1_w128,1,50,-36.93017208073288,1.086359171271324,2.5089249086380003,2.789583909833431,,,455.86,0.1,4
phi1_w128,1,100,-65.19876662932336,1.0849669766426087,2.5767161369323732,3.626941825430095,,,495.67,0.01,4
phi1_w128,2,4,-5.41091519806534,1.6435148298740387,2.775135388374329,1.714490785356611,,,27.99,1.0,4
phi1_w128,2,8,-11.396374322008342,1.2726932668685913,2.765892527103424,1.6768843547953294,,,55.83,1.0,4
phi1_w128,2,16,-10.357812869958579,1.111509115099907,2.675088303089142,1.6701138768577948,,,51.47,1.0,4
phi1_w128,2,32,-11.210493404045701,1.0216263473033904,2.5606361389160157,1.8979502151376801,,,53.97,1.0,4
phi1_w128,2,50,-16.258298113383354,1.617999685406685,3.8000968313217163,2.164016376606375,,,70.72,0.97,4
phi1_w128,2,100,-16.999778430089354,0.9842320501804351,2.3338606333732606,2.3304803722701037,,,68.12,1.0,4
phi1_w128,3,4,-4.800328623969108,1.6489671111106872,2.8352937269210816,2.4132763052359225,,,25.43,1.0,4
phi1_w128,3,8,-7.772694223895669,1.2374594473838807,2.65171240568161,3.652617698404938,,,40.9,1.0,4
phi1_w128,3,16,-8.713125404678285,1.0761174243688583,2.4976454639434813,2.587482958988403,,,49.94,1.0,4
phi1_w128,3,32,-10.654240492023527,1.0012563008069992,2.362395796775818,1.4814846352502355,,,60.28,1.0,4
phi1_w128,3,50,-12.896761129871011,0.9705879044532776,2.197726671695709,1.5643021889917552,,,74.05,1.0,4
phi1_w128,3,100,-18.565334547013045,0.9492106318473816,2.0774779987335203,0.7110181524732616,,,94.62,1.0,4
phi1_w128,4,4,-5.2117481008870525,1.7264978551864625,2.8912272024154664,2.7321598315238953,,,26.5,1.0,4
phi1_w128,4,8,-7.383478377014399,1.2731434816122056,2.654625027179718,2.4132748236414043,,,39.91,1.0,4
phi1_w128,4,16,-9.08319776179269,1.1112376695871353,2.4526553082466127,0.7997448998643085,,,49.5,1.0,4
phi1_w128,4,32,-10.994540165066718,1.0415756392478943,2.354420783519745,1.0309783516521565,,,58.79,1.0,4
phi1_w128,4,50,-12.872732650488615,1.0179329115152358,2.2519065809249876,1.8135461155079304,,,63.66,1.0,4
phi1_w128,4,100,-16.60476028941572,0.9944333726167679,2.2017559456825255,1.2379205090170726,,,68.48,1.0,4
phi1_w128,5,4,-5.68805904885754,1.7262818348407745,2.9120257472991944,2.352667949371971,,,28.23,1.0,4
phi1_w128,5,8,-8.780751573164016,1.2369699853658676,2.5314710450172426,3.605135885659838,,,45.35,1.0,4
phi1_w128,5,16,-9.878681222442538,1.287064471244812,2.9782838916778562,3.7421066788217288,,,49.82,0.99,4
phi1_w128,5,32,-10.646216098964214,1.0021022671461106,2.5823907399177553,1.456678375970805,,,52.03,1.0,4
phi1_w128,5,50,-13.467346193417907,1.1647699189186096,2.9997113060951235,1.8162097767325118,,,60.03,0.99,4
phi1_w128,5,100,-15.500695845857262,0.9158542811870575,2.500046420097351,1.2121638493282954,,,59.03,1.0,4
phi1_w32,1,4,-4.8313537742011246,1.7115777516365052,2.887554361820221,3.316370862334734,,,26.76,1.0,4
phi1_w32,1,8,-8.066151183219626,1.3154017925262451,2.704743323326111,2.3429002958606,,,51.83,0.98,4
phi1_w32,1,16,-12.55051723267883,1.1631254243850708,2.5775745701789856,2.150706918600481,,,172.52,0.74,4
phi1_w32,1,32,-28.157973119989038,1.4836061441898345,3.4475867533683777,2.4461822060262786,,,424.29,0.17,4
phi1_w32,1,50,-37.838336198404434,1.0816925698518753,2.582811620235443,1.6916648869365454,,,477.71,0.05,4
phi1_w32,1,100,-65.18368796549737,1.0769419384002685,2.6072458386421205,1.4084285084962846,,,500.0,0.0,4
phi1_w32,2,4,-6.232784842988476,1.7533800494670868,2.927908704280853,3.4521095179207624,,,30.4,1.0,4
phi1_w32,2,8,-12.885851870914921,1.7068697643280029,3.509631233215332,3.3923272453434765,,,62.21,0.98,4
phi1_w32,2,16,-13.337872788645328,1.5287848043441772,3.4278268361091615,3.457571598024806,,,66.56,0.98,4
phi1_w32,2,32,-12.797021718882025,1.0718638676404952,2.5763001894950865,1.78486775080557,,,64.74,1.0,4
phi1_w32,2,50,-15.26770316399634,1.0598403894901276,2.5453195858001707,3.1579899398282167,,,72.86,1.0,4
phi1_w32,2,100,-20.426241859197617,1.0932858687639238,2.6196968030929564,2.59222170059029,,,83.21,1.0,4
phi1_w32,3,4,-5.1485516878403725,1.7016627478599549,2.9053123116493227,3.282677311254665,,,26.47,1.0,4
phi1_w32,3,8,-7.588495192751289,1.268505546450615,2.6527052545547485,2.8219735598750413,,,40.23,1.0,4
phi1_w32,3,16,-8.9630421936512,1.1236284065246582,2.5861073327064514,1.8552118535735644,,,47.36,1.0,4
phi1_w32,3,32,-10.80914256360382,1.0514810585975647,2.526421434879303,1.4759998225275195,,,53.13,1.0,4
phi1_w32,3,50,-12.681234925501048,1.0319033443927765,2.395603017807007,2.1331821217522027,,,57.76,1.0,4
phi1_w32,3,100,-16.249147697538138,1.0157356882095336,2.4086425137519836,1.4891817312236875,,,61.11,1.0,4
phi1_w32,4,4,-5.184892746750266,1.7169568705558778,2.85520094871521,2.2410540663450957,,,27.55,1.0,4
phi1_w32,4,8,-9.030955724315717,1.5505511260032654,3.0200589990615843,2.020627284348011,,,46.15,0.99,4
phi1_w32,4,16,-8.633558254614472,1.1691948586702348,2.5019730067253114,2.503744492093101,,,47.17,1.0,4
phi1_w32,4,32,-10.615140755772591,1.0610599678754806,2.3174070072174073,2.4737941997591406,,,55.51,1.0,4
phi1_w32,4,50,-12.607623366974295,1.015843568444252,2.1924304962158203,0.8353030855506658,,,64.58,1.0,4
phi1_w32,4,100,-17.50552624695003,0.9985854876041412,2.111297218799591,1.7081539443790914,,,75.04,1.0,4
phi1_w32,5,4,-5.3222113691177215,1.6112012457847595,2.7671376395225527,1.3266007764358074,,,27.06,1.0,4
phi1_w32,5,8,-7.533246847139671,1.321362211704254,2.742753150463104,2.258419055195991,,,39.73,1.0,4
phi1_w32,5,16,-9.162837761770934,1.141074345111847,2.6285247731208803,2.1600847238418646,,,48.48,1.0,4
phi1_w32,5,32,-11.802153642885386,1.272848060131073,2.95982595205307,2.3241415839298862,,,58.23,0.99,4
phi1_w32,5,50,-12.741620818153024,1.0125227105617522,2.577180392742157,2.8103981037788093,,,59.53,1.0,4
phi1_w32,5,100,-16.670288617387413,0.9817512291669845,2.449594519138336,1.702456005168706,,,63.9,1.0,4
phi1_w64,1,4,-5.559821653999388,1.7748477494716643,2.9601575541496277,3.7010133574344217,,,27.91,1.0,4
phi1_w64,1,8,-7.749903398845345,1.3120439249277114,2.6138280868530273,0.8866983985109255,,,40.53,1.0,4
phi1_w64,1,16,-8.98537734175101,1.1337643074989319,2.5286164331436156,2.40599304318428,,,48.1,1.0,4
phi1_w64,1,32,-10.2711066814512,1.0635818511247634,2.448361954689026,2.8107768257916903,,,52.42,1.0,4
phi1_w64,1,50,-12.15387202642858,1.0349440455436707,2.3307250475883485,1.436640690946579,,,56.95,1.0,4
phi1_w64,1,100,-16.093246491923928,1.0093722838163375,2.264891700744629,3.190338636043668,,,62.4,1.0,4
phi1_w64,2,4,-5.441681733718142,1.6843161332607268,2.780595681667328,2.3451931905094536,,,28.54,1.0,4
phi1_w64,2,8,-10.033494615890085,1.8802850687503814,3.6333876943588255,2.882389086219482,,,51.44,0.98,4
phi1_w64,2,16,-10.241680494695903,1.1410861521959306,2.250605511665344,2.8916828243993224,,,84.07,0.99,4
phi1_w64,2,32,-19.56662519071251,1.297268860936165,2.468972218036652,1.9566604243870824,,,230.09,0.7,4
phi1_w64,2,50,-36.721388351023194,1.4790826177597045,3.1889759945869445,1.9312341800749302,,,417.49,0.23,4
phi1_w64,2,100,-65.11255798630417,1.054552498459816,2.6790820121765138,2.7809173619151117,,,488.21,0.03,4
phi1_w64,3,4,-5.554900878430344,1.6714358675479888,2.8652884221076964,1.729761966979131,,,27.31,1.0,4
phi1_w64,3,8,-9.251890575308353,1.2665033894777298,2.7272242403030393,0.8353121160995215,,,45.6,1.0,4
phi1_w64,3,16,-9.038153910767287,1.0801519179344177,2.6540170550346374,1.8152083274233155,,,47.17,1.0,4
phi1_w64,3,32,-11.432787349559367,0.9912249851226806,2.524955611228943,1.4756518069285085,,,55.28,1.0,4
phi1_w64,3,50,-12.697976865172386,0.9543504583835601,2.458937304019928,1.1840329668311402,,,58.01,1.0,4
phi1_w64,3,100,-17.169777468964458,0.9425891560316085,2.3219614171981813,1.487284925555531,,,65.06,1.0,4
phi1_w64,4,4,-5.033052368131466,1.6720877718925475,2.7788245463371277,1.377234729435295,,,26.25,1.0,4
phi1_w64,4,8,-8.485155934160575,1.2906285458803177,2.6045880579948424,1.8868552932934834,,,45.81,1.0,4
phi1_w64,4,16,-11.522208281941712,1.6828736209869384,3.3898909401893618,2.6893441621982492,,,57.93,0.98,4
