variant,train_size,test_size,delta_iqm,ci_low,ci_high
phi1_w128,4,4,0.0,0.0,0.0
phi1_w128,4,8,0.005832699548809421,0.0027000652496829147,0.017685098966260287
phi1_w128,4,16,0.005783259504377784,0.0032932599266730644,0.00913816930340483
phi1_w128,4,32,0.005000998239548952,0.0022361927701349074,0.03998131153589091
phi1_w128,4,50,0.011385327065781659,0.005724178042305368,0.08571855822825625
phi1_w128,4,100,0.00935769464203895,0.0012608639448593213,0.14278007047595173
phi1_w128,16,4,-0.0009932606054849913,-0.0028120283967474347,0.0014390419346436885
phi1_w128,16,8,-0.00031371550257301245,-0.001824256556652341,0.0013344843373359245
phi1_w128,16,16,0.0,0.0,0.0
phi1_w128,16,32,0.0006184401838864595,-0.0007091941026027282,0.0009650322454866078
phi1_w128,16,50,0.00048189258572180665,-0.0016133768246256637,0.0022216501794696994
phi1_w128,16,100,0.0015808535496006915,-0.002442554242818177,0.01124382713691996
phi1_w128,50,4,-0.08690156168163188,-0.14842760857706092,-0.03475749831766469
phi1_w128,50,8,-0.057270367490566874,-0.12246818404436577,0.0030901531690874875
phi1_w128,50,16,-0.03985253956705859,-0.09458879383151535,0.01060402761178413
phi1_w128,50,32,-0.018768275051492218,-0.04099021638971745,0.004852234365114699
phi1_w128,50,50,0.0,0.0,0.0
phi1_w128,50,100,0.03465901807667041,0.008088988521145715,0.09272023053740804
phi1_w128,100,4,-0.05804430835311856,-0.24404511859275632,0.010957206964677849
phi1_w128,100,8,0.05369401330008595,-0.01225672209640751,0.08227060586190317
phi1_w128,100,16,0.058181251598490004,0.0019002545329205773,0.08668835779781657
phi1_w128,100,32,0.04940650101479433,0.014862142459871905,0.07194427733556806
phi1_w128,100,50,0.031113486366215692,0.020074640080373338,0.04557966150245953
phi1_w128,100,100,0.0,0.0,0.0
phi1_w32,4,4,0.0,0.0,0.0
phi1_w32,4,8,0.007955310773302507,0.003485567513378992,0.0214496569899989
phi1_w32,4,16,0.008832556735547023,0.001720835657383309,0.02204197981584255
phi1_w32,4,32,0.00720660181746154,0.0034989982824938184,0.06409240764232775
phi1_w32,4,50,0.0071140535942007714,0.004411538521165603,0.0869223497662162
phi1_w32,4,100,0.01064478909571794,0.0049232218711658575,0.14425685715478434
phi1_w32,16,4,0.00023829114624026224,-0.001681093992092782,0.0019609273777799383
phi1_w32,16,8,0.0017333992503547613,0.000910724287618366,0.002676852394073522
phi1_w32,16,16,0.0,0.0,0.0
phi1_w32,16,32,0.0007653434531336526,-0.0009982770661578488,0.003830952954752146
phi1_w32,16,50,-6.022254065159623e-05,-0.0029178834042171697,0.007505264009076844
phi1_w32,16,100,-0.00144237118493921,-0.0026651400567326102,0.07457379539087002
phi1_w32,50,4,-0.03954936341341483,-0.08395643301312368,-0.0011945786974635053
phi1_w32,50,8,-0.019562912887571764,-0.07954946367389848,0.03688753243741053
phi1_w32,50,16,-0.01003760020843684,-0.05431213310291679,0.0361920761848452
phi1_w32,50,32,-0.0026796696055985114,-0.02419737500759515,0.022758563538723204
phi1_w32,50,50,0.0,0.0,0.0
phi1_w32,50,100,0.0030966460417788757,-0.0425052610836843,0.04338238905972558
phi1_w32,100,4,-0.19810842190523958,-0.33925376922341166,-0.023619432856502736
phi1_w32,100,8,-0.12685156498913955,-0.26606944938380467,0.020995810799758024
phi1_w32,100,16,-0.07352447173371741,-0.18864968196659615,0.02830668312777725
phi1_w32,100,32,-0.03791589582655871,-0.09821453969366974,0.03444652381965174
phi1_w32,100,50,-0.019240069156625943,-0.04454359157192737,0.025809268529832712
phi1_w32,100,100,0.0,0.0,0.0
phi1_w64,4,4,0.0,0.0,0.0
phi1_w64,4,8,0.010176762493488459,0.005208009760495218,0.01392413432655278
phi1_w64,4,16,0.006570894283478716,0.00124785164858691,0.014472721136695768
phi1_w64,4,32,0.01807200979475106,0.0006221002146581019,0.05352744394190797
phi1_w64,4,50,0.04062711402254674,0.0011833553532836956,0.11957168899484734
phi1_w64,4,100,0.07188186516664637,0.0027925976627040847,0.2116746286150185
phi1_w64,16,4,-0.003684535394480696,-0.005529860149227332,-0.0008278950900040272
phi1_w64,16,8,-0.0017186521884860657,-0.0039397731855886535,0.001131935227033476
phi1_w64,16,16,0.0,0.0,0.0
phi1_w64,16,32,0.0008017085527724696,-0.0008052491173143883,0.0012282928503482005
phi1_w64,16,50,0.0008971442572377105,-0.0019711824090424455,0.0029926188428446667
phi1_w64,16,100,0.0016965008800184922,-0.0026911175782412164,0.005046160649196459
phi1_w64,50,4,-0.025524721674903866,-0.083449290007366,-0.00668599590558742
phi1_w64,50,8,-0.014807759312214563,-0.05148536455119993,-0.0011118089977248575
phi1_w64,50,16,-0.010046420840103246,-0.029103641487349268,-0.0011813149199872974
phi1_w64,50,32,-0.0035273030575829756,-0.008015065400141444,0.0013695248608031063
phi1_w64,50,50,0.0,0.0,0.0
phi1_w64,50,100,0.0024699133681959826,-0.004226663043411201,0.019463806179131904
phi1_w64,100,4,-0.13910409639415033,-0.2620348799433166,-0.014705091319439792
phi1_w64,100,8,-0.029651334134005485,-0.14105827119537295,0.05385744691587339
phi1_w64,100,16,-0.01959523671735623,-0.1076825404232733,0.08379536527287096
phi1_w64,100,32,-0.013648485874142616,-0.07406874650648332,0.07622295329520559
phi1_w64,100,50,-0.004482914191160685,-0.051263153518706694,0.05006207982999259
phi1_w64,100,100,0.0,0.0,0.0
phi2_w128,4,4,0.0,0.0,0.0
phi2_w128,4,8,0.002066470351496689,-0.0016617848940378988,0.004470041845646218
phi2_w128,4,16,0.0008034705276405892,-0.0005708680038249611,0.0031744949799336064
phi2_w128,4,32,0.0022899000780591816,0.00023095542837140806,0.023437843202828674
phi2_w128,4,50,0.0006920414957362434,-0.0010897322546874477,0.05560739381283264
phi2_w128,4,100,0.003361834265875404,-0.001222998872471089,0.1197910991959213
phi2_w128,16,4,-0.003607536459711791,-0.008754107389040663,0.0014762796133013973
phi2_w128,16,8,0.0011302486888316032,-0.0011177408325675116,0.008575359689535303
phi2_w128,16,16,0.0,0.0,0.0
phi2_w128,16,32,0.0026892639896748025,0.0013836732572467536,0.006488855822018451
phi2_w128,16,50,0.0026683360168293646,0.00014848276137457983,0.009912671788549265
phi2_w128,16,100,0.004067612816492668,-0.002037504625224266,0.015481353499479359
phi2_w128,50,4,-0.015717441197210677,-0.059591325087098766,-0.0036312303676753616
phi2_w128,50,8,-0.00893307433340614,-0.033644285588965726,0.038099633246196966
phi2_w128,50,16,-0.007504859070529964,-0.020859020704359205,0.03590018623730975
phi2_w128,50,32,-0.00011693929829777645,-0.01007867949041282,0.025414835181491097
phi2_w128,50,50,0.0,0.0,0.0
phi2_w128,50,100,0.0007926404400850166,-0.047714165132748405,0.009377600434877545
phi2_w128,100,4,-0.04178625713782852,-0.16676864349405027,0.054050741617895005
phi2_w128,100,8,0.05627412928126816,-0.09460299468864963,0.151796746908655
phi2_w128,100,16,0.07228883821847587,-0.0702928449648748,0.14646265462987892
phi2_w128,100,32,0.06121104409218642,-0.03905290677366303,0.11959717642950189
phi2_w128,100,50,0.038776726474359736,-0.03096508727430758,0.08042959319958803
phi2_w128,100,100,0.0,0.0,0.0
phi2_w32,4,4,0.0,0.0,0.0
phi2_w32,4,8,0.0016471073754333876,-0.0002609414319529509,0.00300140648211585
phi2_w32,4,16,0.004882422485063098,8.440729076097941e-05,0.016760583813361023
phi2_w32,4,32,0.027013715796446663,0.0005520658126379289,0.08319443351178162
phi2_w32,4,50,0.041917768058685,0.00032692371765178735,0.12174820568768574
phi2_w32,4,100,0.0676681121493609,0.004782873129891822,0.1908213980440265
phi2_w32,16,4,-0.004113060189187075,-0.04447849018458028,-0.0017254486062728835
phi2_w32,16,8,-0.0028070780373126527,-0.01970100316502954,-0.0008733752764089608
phi2_w32,16,16,0.0,0.0,0.0
phi2_w32,16,32,0.002168477421190048,-0.0006654973501719988,0.017143622018469713
phi2_w32,16,50,-0.0009205125389489069,-0.002339064344145436,0.024096407277936643
phi2_w32,16,100,-0.0012859152655949984,-0.003220553578010321,0.039903742545714015
phi2_w32,50,4,-0.053332058491101564,-0.1464172806573147,0.013338821299866374
phi2_w32,50,8,-0.03484738561624808,-0.10630864230234904,-0.007564164866725731
phi2_w32,50,16,-0.02018742999408263,-0.07897012779807333,-0.005690280592390888
phi2_w32,50,32,-0.008290737151447828,-0.02340101683554896,-0.0031578152663599055
phi2_w32,50,50,0.0,0.0,0.0
phi2_w32,50,100,0.014874125907611169,0.003916957858980681,0.04159474905914958
phi2_w32,100,4,-0.054652252860602775,-0.5512952228242083,0.15752765827863083
phi2_w32,100,8,-0.007204927180270289,-0.4241910197064678,0.1866522729525839
phi2_w32,100,16,0.0031331225755070378,-0.2673834162489224,0.16327191395330512
phi2_w32,100,32,0.012138701666603973,-0.056776382011062464,0.1287903114428893
phi2_w32,100,50,0.021447332887394005,-0.020911186730475245,0.08585451525964004
phi2_w32,100,100,0.0,0.0,0.0
phi2_w64,4,4,0.0,0.0,0.0
phi2_w64,4,8,0.003387999743135639,0.0019102769018775057,0.01624277805648296
phi2_w64,4,16,0.0013773243932725387,0.00047999937568610207,0.014358068130623458
phi2_w64,4,32,0.004292841560307552,0.0027610877005783316,0.024371531239108735
phi2_w64,4,50,0.0030778636368155774,0.00019471998681404776,0.04490628485979031
phi2_w64,4,100,0.004354961524734431,0.0001356137304585244,0.09519822340708177
phi2_w64,16,4,0.0008781970189868741,-8.89695309625645e-05,0.0013755231942103412
phi2_w64,16,8,0.0012527349216184074,0.000562848152475722,0.002372786900496804
phi2_w64,16,16,0.0,0.0,0.0
phi2_w64,16,32,0.0015130184735879422,-2.5591398447303664e-05,0.003601689753392997
phi2_w64,16,50,6.252023949193664e-05,-0.001490029922188903,0.0031925818439723455
phi2_w64,16,100,0.000742482345911936,-0.001832524758576759,0.005784416627140465
phi2_w64,50,4,-0.08022988192495119,-0.14092093262543307,-0.02092488040670437
phi2_w64,50,8,-0.03726056596113523,-0.10286663272878738,-0.012604204219543816
phi2_w64,50,16,-0.022818549111816872,-0.07591072988653602,0.0002968640726663761
phi2_w64,50,32,-0.007005110303938115,-0.03150554898672673,0.005595989354051833
phi2_w64,50,50,0.0,0.0,0.0
phi2_w64,50,100,0.020025958089783524,-0.002956453842155187,0.07093643231497558
phi2_w64,100,4,-0.04072762478127886,-0.12631309050668216,0.046214642531088305
phi2_w64,100,8,0.031073212496596753,-0.10052266799781295,0.12663121221184848
phi2_w64,100,16,0.0392824088704038,-0.0747693317819148,0.12983316070623804
phi2_w64,100,32,0.03540738116997885,-0.0446320349849596,0.1066134427939029
phi2_w64,100,50,0.023002652440037435,-0.030238507171791957,0.06986010128604968
phi2_w64,100,100,0.0,0.0,0.0
phi4_w128,4,4,0.0,0.0,0.0
phi4_w128,4,8,0.0027115302136421215,-0.000754413207910328,0.0070872474459019825
phi4_w128,4,16,0.0027328225550156127,-5.341957598259395e-05,0.007565621170581978
phi4_w128,4,32,0.010064340078296596,0.0022222721022456073,0.03486434793967397
phi4_w128,4,50,0.028406566941931406,0.003177950282842216,0.07756298381421174
phi4_w128,4,100,0.06923496762353616,0.018285925355625565,0.16767469005304914
phi4_w128,16,4,-0.003168946897223616,-0.007349469139730151,2.8827592941797302e-05
phi4_w128,16,8,-0.0014244187704738713,-0.004211295343256742,-0.0004157057573565733
phi4_w128,16,16,0.0,0.0,0.0
phi4_w128,16,32,0.002815088968352993,-0.00032004193027572,0.006555446564471194
phi4_w128,16,50,0.0038259214484234194,-0.001084344045181429,0.01025631186865028
phi4_w128,16,100,0.008440916633618492,-0.000617771669904584,0.020469352223015047
phi4_w128,50,4,-0.07619539433823058,-0.23063930627154391,-0.043311603122612376
phi4_w128,50,8,0.012114548207764017,-0.11680281818846472,0.05178811821109954
phi4_w128,50,16,0.022851487341156645,-0.04126852281417855,0.0607758159211644
phi4_w128,50,32,0.015030849836133836,-0.0026254123074673785,0.03548180150305557
phi4_w128,50,50,0.0,0.0,0.0
phi4_w128,50,100,-0.03926221305324451,-0.0759327303279466,-0.00924447894599875
phi4_w128,100,4,0.03910473808216921,-0.032010164196399925,0.0792146343132628
phi4_w128,100,8,0.12298347965318705,0.04573306993419587,0.13868788835098128
phi4_w128,100,16,0.12253046682732753,0.05085546809099132,0.1452032589222024
phi4_w128,100,32,0.10061785268001293,0.045093275784224646,0.11880968433028283
phi4_w128,100,50,0.0657003943960516,0.027744038595053432,0.07817720560384346
phi4_w128,100,100,0.0,0.0,0.0
phi4_w32,4,4,0.0,0.0,0.0
phi4_w32,4,8,0.004902701330050108,0.001527250774138252,0.009536466388902006
phi4_w32,4,16,0.0057110617402281,0.003076108908031857,0.05248437083353855
phi4_w32,4,32,0.025594917893843678,0.003873472438838473,0.09364537387711207
phi4_w32,4,50,0.043413320172448776,0.005727691094252936,0.12857380085469583
phi4_w32,4,100,0.10477757670502645,0.005848788587427138,0.23649469616058286
phi4_w32,16,4,-0.0006847015995051035,-0.0035413147086824637,0.000665305379667173
phi4_w32,16,8,0.0007202743155640956,0.0005156835363832046,0.0016341888087922547
phi4_w32,16,16,0.0,0.0,0.0
phi4_w32,16,32,0.0016983915187857395,0.0004708809480757914,0.002820999010638925
phi4_w32,16,50,-0.0006562740204876238,-0.0016062454414860206,0.0013292651385933645
phi4_w32,16,100,-0.00028631914399697883,-0.00369608498918265,0.0028971884832722137
phi4_w32,50,4,-0.048743035414398034,-0.10111550287406845,-0.016054339497335545
phi4_w32,50,8,0.03550603433527163,-0.03843290550663133,0.07645105368479115
phi4_w32,50,16,0.03905063683965313,-0.022092224036569744,0.07861968586460329
phi4_w32,50,32,0.026732601590727323,-0.0028719935817381665,0.04549493049360718
phi4_w32,50,50,0.0,0.0,0.0
phi4_w32,50,100,-0.0449329428890654,-0.09204782037058368,0.01598877255479243
phi4_w32,100,4,-0.06834891097670272,-0.1683985937446458,0.024256004865206553
phi4_w32,100,8,0.044946298566847155,-0.07399809223810488,0.131092257789591
phi4_w32,100,16,0.06466258357988981,-0.02406862610870328,0.13476174594523824
phi4_w32,100,32,0.05651015740492577,-0.0044956721870551206,0.11325567002608677
phi4_w32,100,50,0.03597800558315621,-0.0012187395582540204,0.07488113707002292
phi4_w32,100,100,0.0,0.0,0.0
phi4_w64,4,4,0.0,0.0,0.0
phi4_w64,4,8,0.0024302023998596565,0.0005552687346108328,0.004971985129946936
phi4_w64,4,16,0.0016827982258959355,-0.0016753425173699303,0.03208407042492123
phi4_w64,4,32,0.005141675884905661,-0.0010229377787640919,0.07034082131102304
phi4_w64,4,50,0.007046638496639446,-0.0006550496088231217,0.09504338805395669
phi4_w64,4,100,0.030303312513567732,0.0015395820180672908,0.16055737582357443
phi4_w64,16,4,-0.0023067329699718586,-0.00837358817405994,-0.0003227708236878864
phi4_w64,16,8,-0.0008526495112638107,-0.005914508854081846,0.00097296793006633
phi4_w64,16,16,0.0,0.0,0.0
phi4_w64,16,32,0.0036893152710607926,0.0008349138977821561,0.008331947140967447
phi4_w64,16,50,0.0058030041843862845,3.397602990877028e-05,0.04083789120144388
phi4_w64,16,100,0.011757688165933108,0.0006972978487077933,0.11641281181358258
phi4_w64,50,4,-0.10480772610824506,-0.19447365821477505,-0.0013686528532522585
phi4_w64,50,8,-0.018193000130065824,-0.14748879589695083,0.07762402117557941
phi4_w64,50,16,-0.006317431108280758,-0.10033058694496055,0.07234646757309764
phi4_w64,50,32,0.00510514573714096,-0.03661748376024809,0.04308087619161214
phi4_w64,50,50,0.0,0.0,0.0
phi4_w64,50,100,-0.0007021861685859535,-0.09082756020443089,0.08450324797827709
phi4_w64,100,4,-0.060523268240654376,-0.18172820950854904,0.062002479518215574
phi4_w64,100,8,0.11271557200978939,-0.04808242592012604,0.1517346349141854
phi4_w64,100,16,0.12558764668098807,-0.0326529815028208,0.16121299194326666
phi4_w64,100,32,0.10519874095958938,-0.015022165259277187,0.13105931392296155
phi4_w64,100,50,0.0684212201364766,-0.015431284530898426,0.08657198982442006
phi4_w64,100,100,0.0,0.0,0.0
