config,run,task,score
embed_dim128,0,100,-91.01428527832032
embed_dim128,1,100,-117.08105239868163
embed_dim128,2,100,-240.8563491821289
embed_dim128,3,100,-54.131418991088864
embed_dim128,4,100,-113.80235061645507
embed_dim16,0,100,-71.29717750549317
embed_dim16,1,100,-228.27532348632812
embed_dim16,2,100,-247.38743743896484
embed_dim16,3,100,-39.23378448486328
embed_dim16,4,100,-34.01031856536865
embed_dim32,0,100,-156.1527526855469
embed_dim32,1,100,-247.60262298583984
embed_dim32,2,100,-81.8333839416504
embed_dim32,3,100,-96.40431365966796
embed_dim32,4,100,-231.35204315185547
embed_dim4,0,100,-235.9690673828125
embed_dim4,1,100,-214.82177276611327
embed_dim4,2,100,-219.26929473876953
embed_dim4,3,100,-216.28829345703124
embed_dim4,4,100,-34.843863296508786
embed_dim64,0,100,-23.71690139770508
embed_dim64,1,100,-226.7189727783203
embed_dim64,2,100,-70.56411819458008
embed_dim64,3,100,-122.86131439208984
embed_dim64,4,100,-177.9965377807617
embed_dim8,0,100,-127.76206665039062
embed_dim8,1,100,-232.57538452148438
embed_dim8,2,100,-95.53428573608399
embed_dim8,3,100,-222.3350845336914
embed_dim8,4,100,-53.30181732177734
