config,metric,point,ci_low,ci_high
phi_layers1_phi_hidden_width128,Median,0.6776642989779822,0.5389061220710323,0.8164224758849322
phi_layers1_phi_hidden_width128,IQM,0.6826250294608723,0.49663230152163873,0.8689365569082512
phi_layers1_phi_hidden_width128,Mean,0.6776642989779822,0.5389061220710323,0.8164224758849322
phi_layers1_phi_hidden_width128,Optimality Gap,0.3223357010220178,0.18357752411506778,0.4610938779289677
phi_layers1_phi_hidden_width32,Median,0.7249224392570798,0.6373980625341485,0.8124468159800111
phi_layers1_phi_hidden_width32,IQM,0.7116583001018149,0.6144690654390245,0.8475711821723052
phi_layers1_phi_hidden_width32,Mean,0.7249224392570798,0.6373980625341485,0.8124468159800111
phi_layers1_phi_hidden_width32,Optimality Gap,0.2750775607429202,0.18755318401998888,0.36260193746585145
phi_layers1_phi_hidden_width64,Median,0.6511178598747013,0.4901070292273172,0.8165661563122409
phi_layers1_phi_hidden_width64,IQM,0.6583290617420025,0.4392534913858113,0.8786124407425402
phi_layers1_phi_hidden_width64,Mean,0.6511178598747013,0.4901070292273172,0.8165661563122409
phi_layers1_phi_hidden_width64,Optimality Gap,0.3488821401252987,0.18343384368775906,0.5098929707726828
phi_layers2_phi_hidden_width128,Median,0.5705596064137578,0.45809364299927635,0.6830255698282393
phi_layers2_phi_hidden_width128,IQM,0.5840700211488125,0.4119955031162188,0.7155091601865609
phi_layers2_phi_hidden_width128,Mean,0.5705596064137578,0.45809364299927635,0.6830255698282393
phi_layers2_phi_hidden_width128,Optimality Gap,0.4294403935862422,0.31697443017176075,0.5419063570007236
phi_layers2_phi_hidden_width32,Median,0.6690002453211412,0.3979946182118817,0.886325736331731
phi_layers2_phi_hidden_width32,IQM,0.7245008442005844,0.34700763718737,0.9139579503143662
phi_layers2_phi_hidden_width32,Mean,0.6690002453211412,0.3979946182118817,0.886325736331731
phi_layers2_phi_hidden_width32,Optimality Gap,0.3309997546788588,0.11367426366826905,0.6020053817881184
phi_layers2_phi_hidden_width64,Median,0.5855643065372058,0.515561218177482,0.6406721092126333
phi_layers2_phi_hidden_width64,IQM,0.6074404982082827,0.49076868427540976,0.6477875809782875
phi_layers2_phi_hidden_width64,Mean,0.5855643065372058,0.515561218177482,0.6406721092126333
phi_layers2_phi_hidden_width64,Optimality Gap,0.4144356934627942,0.3593278907873667,0.484438781822518
phi_layers4_phi_hidden_width128,Median,0.3445324101339141,0.1629166581837449,0.4685060804773773
phi_layers4_phi_hidden_width128,IQM,0.41171728163973986,0.10902436172279117,0.47815054754534675
phi_layers4_phi_hidden_width128,Mean,0.3445324101339141,0.1629166581837449,0.4685060804773773
phi_layers4_phi_hidden_width128,Optimality Gap,0.6554675898660859,0.5314939195226227,0.8370833418162551
phi_layers4_phi_hidden_width32,Median,0.5838993062291096,0.45506277969283027,0.6948265926380259
phi_layers4_phi_hidden_width32,IQM,0.5953001071256744,0.4136304207354613,0.7280472001562791
phi_layers4_phi_hidden_width32,Mean,0.5838993062291096,0.45506277969283027,0.6948265926380259
phi_layers4_phi_hidden_width32,Optimality Gap,0.41610069377089043,0.30517340736197407,0.5449372203071697
phi_layers4_phi_hidden_width64,Median,0.4125475618055051,0.33898380268727946,0.4889272768574239
phi_layers4_phi_hidden_width64,IQM,0.39865051588191114,0.330538233895833,0.5234086745611276
phi_layers4_phi_hidden_width64,Mean,0.4125475618055051,0.33898380268727946,0.4889272768574239
phi_layers4_phi_hidden_width64,Optimality Gap,0.5874524381944949,0.5110727231425761,0.6610161973127205
