config,run,task,score
phi_layers1_phi_hidden_width128,0,4,-102.59209747314453
phi_layers1_phi_hidden_width128,1,4,-298.0057647705078
phi_layers1_phi_hidden_width128,2,4,-86.88747482299804
phi_layers1_phi_hidden_width128,3,4,-148.94067993164063
phi_layers1_phi_hidden_width128,4,4,-311.6124603271484
phi_layers1_phi_hidden_width32,0,4,-88.35731582641601
phi_layers1_phi_hidden_width32,1,4,-100.637548828125
phi_layers1_phi_hidden_width32,2,4,-83.1060287475586
phi_layers1_phi_hidden_width32,3,4,-378.5663330078125
phi_layers1_phi_hidden_width32,4,4,-85.01003799438476
phi_layers1_phi_hidden_width64,0,4,-149.92411422729492
phi_layers1_phi_hidden_width64,1,4,-121.0549705505371
phi_layers1_phi_hidden_width64,2,4,-81.25271148681641
phi_layers1_phi_hidden_width64,3,4,-91.88323135375977
phi_layers1_phi_hidden_width64,4,4,-294.28804168701174
phi_layers2_phi_hidden_width128,0,4,-392.9311828613281
phi_layers2_phi_hidden_width128,1,4,-302.8497085571289
phi_layers2_phi_hidden_width128,2,4,-508.16973571777345
phi_layers2_phi_hidden_width128,3,4,-370.08362731933596
phi_layers2_phi_hidden_width128,4,4,-333.7021087646484
phi_layers2_phi_hidden_width32,0,4,-403.86497497558594
phi_layers2_phi_hidden_width32,1,4,-99.55435714721679
phi_layers2_phi_hidden_width32,2,4,-91.47614974975586
phi_layers2_phi_hidden_width32,3,4,-123.85966720581055
phi_layers2_phi_hidden_width32,4,4,-100.5175880432129
phi_layers2_phi_hidden_width64,0,4,-209.079833984375
phi_layers2_phi_hidden_width64,1,4,-206.34869232177735
phi_layers2_phi_hidden_width64,2,4,-134.4344139099121
phi_layers2_phi_hidden_width64,3,4,-338.7744445800781
phi_layers2_phi_hidden_width64,4,4,-493.6642669677734
phi_layers4_phi_hidden_width128,0,4,-358.40263671875
phi_layers4_phi_hidden_width128,1,4,-241.75054016113282
phi_layers4_phi_hidden_width128,2,4,-381.2403503417969
phi_layers4_phi_hidden_width128,3,4,-343.92225341796876
phi_layers4_phi_hidden_width128,4,4,-335.45240173339846
phi_layers4_phi_hidden_width32,0,4,-396.1679382324219
phi_layers4_phi_hidden_width32,1,4,-529.1275939941406
phi_layers4_phi_hidden_width32,2,4,-278.52979736328126
phi_layers4_phi_hidden_width32,3,4,-182.58560180664062
phi_layers4_phi_hidden_width32,4,4,-351.2043090820313
phi_layers4_phi_hidden_width64,0,4,-490.50157775878904
phi_layers4_phi_hidden_width64,1,4,-351.50396118164065
phi_layers4_phi_hidden_width64,2,4,-528.5418914794922
phi_layers4_phi_hidden_width64,3,4,-509.41785888671876
phi_layers4_phi_hidden_width64,4,4,-336.9691986083984
