config,metric,point,ci_low,ci_high
phi_layers1_phi_hidden_width128,Median,0.6402559791182376,0.38378831917384815,0.8459639379957962
phi_layers1_phi_hidden_width128,IQM,0.6685244970867634,0.3102493522276306,0.9019233568361523
phi_layers1_phi_hidden_width128,Mean,0.6402559791182376,0.38378831917384815,0.8459639379957962
phi_layers1_phi_hidden_width128,Optimality Gap,0.3597440208817624,0.15403606200420383,0.6162116808261519
phi_layers1_phi_hidden_width32,Median,0.602493806563023,0.3850450403807543,0.7443617749819126
phi_layers1_phi_hidden_width32,IQM,0.6779453073828391,0.33399508592014165,0.7661697602412781
phi_layers1_phi_hidden_width32,Mean,0.602493806563023,0.3850450403807543,0.7443617749819126
phi_layers1_phi_hidden_width32,Optimality Gap,0.397506193436977,0.2556382250180874,0.6149549596192456
phi_layers1_phi_hidden_width64,Median,0.7261852348034366,0.641003435788928,0.8637518114080714
phi_layers1_phi_hidden_width64,IQM,0.6714695513986815,0.6301208064699105,0.8992339153028039
phi_layers1_phi_hidden_width64,Mean,0.7261852348034366,0.641003435788928,0.8637518114080714
phi_layers1_phi_hidden_width64,Optimality Gap,0.27381476519656345,0.13624818859192855,0.35899656421107196
phi_layers2_phi_hidden_width128,Median,0.7800273263081737,0.6871626821040373,0.8729928421286963
phi_layers2_phi_hidden_width128,IQM,0.7657636204330398,0.6566796631405302,0.9130521896008233
phi_layers2_phi_hidden_width128,Mean,0.7800273263081737,0.6871626821040373,0.8729928421286963
phi_layers2_phi_hidden_width128,Optimality Gap,0.21997267369182627,0.12700715787130368,0.3128373178959627
phi_layers2_phi_hidden_width32,Median,0.4789306752458378,0.34327335485617905,0.611707763154515
phi_layers2_phi_hidden_width32,IQM,0.474512915401981,0.3078846553133923,0.6680303621781563
phi_layers2_phi_hidden_width32,Mean,0.4789306752458378,0.34327335485617905,0.611707763154515
phi_layers2_phi_hidden_width32,Optimality Gap,0.5210693247541622,0.388292236845485,0.656726645143821
phi_layers2_phi_hidden_width64,Median,0.7443327743922017,0.6627464331047267,0.8165073323230118
phi_layers2_phi_hidden_width64,IQM,0.7557841086980407,0.6335013099931932,0.8364965414681342
phi_layers2_phi_hidden_width64,Mean,0.7443327743922017,0.6627464331047267,0.8165073323230118
phi_layers2_phi_hidden_width64,Optimality Gap,0.2556672256077983,0.18349266767698824,0.3372535668952733
phi_layers4_phi_hidden_width128,Median,0.5589841693101987,0.4023014314137224,0.704773240873928
phi_layers4_phi_hidden_width128,IQM,0.5921897118621452,0.33282574218677535,0.7126187270519303
phi_layers4_phi_hidden_width128,Mean,0.5589841693101987,0.4023014314137224,0.704773240873928
phi_layers4_phi_hidden_width128,Optimality Gap,0.4410158306898013,0.295226759126072,0.5976985685862777
phi_layers4_phi_hidden_width32,Median,0.495763244951603,0.22854291485258288,0.7420418829921404
phi_layers4_phi_hidden_width32,IQM,0.5392777775102137,0.1287834214153919,0.8261100314904954
phi_layers4_phi_hidden_width32,Mean,0.495763244951603,0.22854291485258288,0.7420418829921404
phi_layers4_phi_hidden_width32,Optimality Gap,0.504236755048397,0.2579581170078676,0.7714570851474172
phi_layers4_phi_hidden_width64,Median,0.5310488654752578,0.28841417912444495,0.7736835518260706
phi_layers4_phi_hidden_width64,IQM,0.487519723923929,0.25180275683643777,0.8880219035892103
phi_layers4_phi_hidden_width64,Mean,0.5310488654752578,0.28841417912444495,0.7736835518260706
phi_layers4_phi_hidden_width64,Optimality Gap,0.46895113452474224,0.22631644817392937,0.711585820875555
