config,run,task,score
phi_layers1_phi_hidden_width128,0,50,-99.037890625
phi_layers1_phi_hidden_width128,1,50,-45.85016288757324
phi_layers1_phi_hidden_width128,2,50,-30.468552017211913
phi_layers1_phi_hidden_width128,3,50,-213.46638031005858
phi_layers1_phi_hidden_width128,4,50,-19.32222537994385
phi_layers1_phi_hidden_width32,0,50,-52.88197364807129
phi_layers1_phi_hidden_width32,1,50,-20.418706512451173
phi_layers1_phi_hidden_width32,2,50,-39.66447563171387
phi_layers1_phi_hidden_width32,3,50,-15.550966358184814
phi_layers1_phi_hidden_width32,4,50,-206.7348648071289
phi_layers1_phi_hidden_width64,0,50,-30.53855381011963
phi_layers1_phi_hidden_width64,1,50,-50.55853004455567
phi_layers1_phi_hidden_width64,2,50,-13.983527565002442
phi_layers1_phi_hidden_width64,3,50,-15.329869747161865
phi_layers1_phi_hidden_width64,4,50,-23.10715961456299
phi_layers2_phi_hidden_width128,0,50,-14.910901832580567
phi_layers2_phi_hidden_width128,1,50,-206.41505126953126
phi_layers2_phi_hidden_width128,2,50,-19.390663719177248
phi_layers2_phi_hidden_width128,3,50,-18.845704078674316
phi_layers2_phi_hidden_width128,4,50,-183.15809326171876
phi_layers2_phi_hidden_width32,0,50,-27.952543830871583
phi_layers2_phi_hidden_width32,1,50,-21.750712585449218
phi_layers2_phi_hidden_width32,2,50,-80.02727584838867
phi_layers2_phi_hidden_width32,3,50,-78.65872955322266
phi_layers2_phi_hidden_width32,4,50,-17.982808685302736
phi_layers2_phi_hidden_width64,0,50,-23.63157730102539
phi_layers2_phi_hidden_width64,1,50,-221.61458435058594
phi_layers2_phi_hidden_width64,2,50,-18.814005279541014
phi_layers2_phi_hidden_width64,3,50,-122.10829544067383
phi_layers2_phi_hidden_width64,4,50,-130.44551696777344
phi_layers4_phi_hidden_width128,0,50,-207.25921478271485
phi_layers4_phi_hidden_width128,1,50,-224.6922622680664
phi_layers4_phi_hidden_width128,2,50,-184.73582611083984
phi_layers4_phi_hidden_width128,3,50,-216.65998077392578
phi_layers4_phi_hidden_width128,4,50,-200.58854217529296
phi_layers4_phi_hidden_width32,0,50,-212.65234832763673
phi_layers4_phi_hidden_width32,1,50,-208.06564331054688
phi_layers4_phi_hidden_width32,2,50,-197.33031463623047
phi_layers4_phi_hidden_width32,3,50,-89.05080108642578
phi_layers4_phi_hidden_width32,4,50,-212.9036865234375
phi_layers4_phi_hidden_width64,0,50,-220.381591796875
phi_layers4_phi_hidden_width64,1,50,-71.43627014160157
phi_layers4_phi_hidden_width64,2,50,-199.00892181396483
phi_layers4_phi_hidden_width64,3,50,-107.40754928588868
phi_layers4_phi_hidden_width64,4,50,-205.21359252929688
