config,run,task,score
embed_dim128,0,16,-34.99913482666015
embed_dim128,1,16,-635.5439331054688
embed_dim128,2,16,-404.08933715820314
embed_dim128,3,16,-243.10260314941405
embed_dim128,4,16,-332.3311798095703
embed_dim16,0,16,-69.85301322937012
embed_dim16,1,16,-34.9966646194458
embed_dim16,2,16,-63.03832778930664
embed_dim16,3,16,-120.04590377807617
embed_dim16,4,16,-223.32018432617187
embed_dim32,0,16,-25.315483570098877
embed_dim32,1,16,-85.47562446594239
embed_dim32,2,16,-173.5407257080078
embed_dim32,3,16,-267.9221466064453
embed_dim32,4,16,-51.10273132324219
embed_dim4,0,16,-33.81165885925293
embed_dim4,1,16,-176.76301193237305
embed_dim4,2,16,-330.6206115722656
embed_dim4,3,16,-38.48221073150635
embed_dim4,4,16,-73.37344665527344
embed_dim64,0,16,-224.24176788330078
embed_dim64,1,16,-190.92509765625
embed_dim64,2,16,-30.92029151916504
embed_dim64,3,16,-198.05869064331054
embed_dim64,4,16,-52.94095573425293
embed_dim8,0,16,-33.96697463989258
embed_dim8,1,16,-25.793376922607422
embed_dim8,2,16,-22.73069896697998
embed_dim8,3,16,-54.39622917175293
embed_dim8,4,16,-21.791085052490235
