config,run,task,score
embed_dim128,0,16,-9.500325107574463
embed_dim128,1,16,-9.459526062011719
embed_dim128,2,16,-10.126420402526856
embed_dim128,3,16,-9.339762210845947
embed_dim128,4,16,-9.882305717468261
embed_dim16,0,16,-9.33746690750122
embed_dim16,1,16,-10.438270568847656
embed_dim16,2,16,-10.07632474899292
embed_dim16,3,16,-9.955512142181396
embed_dim16,4,16,-10.338915252685547
embed_dim32,0,16,-10.284641361236572
embed_dim32,1,16,-9.311522579193115
embed_dim32,2,16,-9.581885051727294
embed_dim32,3,16,-10.78511152267456
embed_dim32,4,16,-10.86677074432373
embed_dim4,0,16,-10.207510375976563
embed_dim4,1,16,-12.410369777679444
embed_dim4,2,16,-10.658632373809814
embed_dim4,3,16,-11.549867153167725
embed_dim4,4,16,-12.723460292816162
embed_dim64,0,16,-9.645269966125488
embed_dim64,1,16,-54.25666198730469
embed_dim64,2,16,-11.372277927398681
embed_dim64,3,16,-9.864791584014892
embed_dim64,4,16,-9.297880363464355
embed_dim8,0,16,-9.414859771728516
embed_dim8,1,16,-10.043678283691406
embed_dim8,2,16,-12.385269737243652
embed_dim8,3,16,-9.87910041809082
embed_dim8,4,16,-11.138629245758057
