variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
embed_dim128,1,4,-4.92764653368853,1.761106437444687,2.9586387610435487,2.0296669201739133,,,26.35,1.0,4
embed_dim128,1,8,-7.48272196015343,1.3152228420972825,2.6174208450317384,1.4542597900889813,,,40.64,1.0,4
embed_dim128,1,16,-8.95379006108269,1.1277855056524277,2.4337351155281066,2.7778120002360085,,,49.24,1.0,4
embed_dim128,1,32,-10.570622857399284,1.063481405377388,2.540260889530182,2.279358684840845,,,54.98,1.0,4
embed_dim128,1,50,-12.606409368067979,1.0204720216989518,2.3231552243232727,2.0358305307296107,,,69.52,0.98,4
embed_dim128,1,100,-34.53534048520029,1.0028653204441071,2.1656428384780884,1.6912056336686014,,,231.8,0.64,4
embed_dim128,2,4,-5.326632450493053,1.6559202933311463,2.87297159910202,2.4370417501963675,,,26.91,1.0,4
embed_dim128,2,8,-8.365550850741565,1.4659393966197967,3.087698721885681,3.869541492543649,,,43.96,0.99,4
embed_dim128,2,16,-8.765855730175971,1.0925759780406952,2.5851450634002684,2.240834813491674,,,46.34,1.0,4
embed_dim128,2,32,-10.1714453747496,1.008021098971367,2.4513754510879515,1.885949165171769,,,51.16,1.0,4
embed_dim128,2,50,-11.780747532583772,0.979767524600029,2.483043112754822,3.164579514663666,,,54.73,1.0,4
embed_dim128,2,100,-15.48998423360288,0.9456165206432342,2.353820459842682,1.6795045522864909,,,61.0,1.0,4
embed_dim128,3,4,-5.300090625174343,1.6903598165512086,2.710397148132324,2.2318636317364873,,,27.47,1.0,4
embed_dim128,3,8,-20.199712754702194,3.743742244243622,7.120513577461242,2.8966073315311225,,,90.79,0.89,4
embed_dim128,3,16,-15.740999517403543,1.8316636741161347,3.7673638606071473,2.565936343187932,,,183.1,0.71,4
embed_dim128,3,32,-29.127485465072095,1.152426227927208,2.5766501450538635,1.7693477541860192,,,432.98,0.15,4
embed_dim128,3,50,-42.78830305356532,1.1394839519262314,2.594032680988312,2.0611143483534455,,,487.1,0.03,4
embed_dim128,3,100,-73.01818993337453,1.14316919028759,2.620115933418274,1.982552699673176,,,500.0,0.0,4
embed_dim128,4,4,-5.075485741575249,1.7021968793869018,2.765811483860016,3.7855415225960316,,,26.9,1.0,4
embed_dim128,4,8,-8.06811912553385,1.3216180360317231,2.6486429452896116,2.23539553502691,,,43.01,1.0,4
embed_dim128,4,16,-9.956450626850128,1.1325553065538407,2.3393855357170104,3.857739336543018,,,71.05,0.96,4
embed_dim128,4,32,-22.298116535805164,1.1347545248270035,2.3754764366149903,1.8200372197816614,,,298.45,0.46,4
embed_dim128,4,50,-38.000417802594605,1.1043069523572921,2.393420398235321,2.37552126217261,,,439.71,0.14,4
embed_dim128,4,100,-69.31212850123644,1.133966724872589,2.451988582611084,1.2505580483272671,,,495.91,0.01,4
embed_dim128,5,4,-5.287701972359791,1.7142613422870636,2.8603018260002138,1.8921015418041498,,,27.21,1.0,4
embed_dim128,5,8,-9.854798686429858,1.6975660198926925,3.2486234521865844,1.9841298264102079,,,47.45,0.99,4
embed_dim128,5,16,-9.068354533687234,1.1287949401140214,2.464138460159302,2.2035316480346956,,,50.56,1.0,4
embed_dim128,5,32,-13.08053365111351,1.273964126110077,2.7343882584571837,2.294351108846022,,,70.62,0.99,4
embed_dim128,5,50,-14.156092678643763,1.032258220911026,2.2791290950775145,2.446333588480204,,,77.73,1.0,4
embed_dim128,5,100,-21.76385169684887,0.9836217504739762,2.18606986284256,1.7612691219914707,,,111.0,1.0,4
embed_dim16,1,4,-6.319183073863387,1.7549984872341156,2.94149347782135,3.330086194756441,,,30.91,1.0,4
embed_dim16,1,8,-7.8823132648319,1.3241127502918244,2.616061980724335,1.2583753155358135,,,45.21,1.0,4
embed_dim16,1,16,-11.489287047553807,1.204184256196022,2.665992658138275,2.1923925650818274,,,68.79,0.99,4
embed_dim16,1,32,-12.426493100076915,1.2207213139533997,2.8072743129730227,2.370256038156804,,,78.64,1.0,4
embed_dim16,1,50,-16.17400859873742,1.4591638505458833,3.305209357738495,3.6023535745933652,,,98.19,0.99,4
embed_dim16,1,100,-30.840245737209916,1.5114482110738754,3.378905727863312,1.9577586578302084,,,167.73,0.99,4
embed_dim16,2,4,-5.526398371951655,1.7181531488895416,2.8182212352752685,3.9224003951251505,,,32.95,0.99,4
embed_dim16,2,8,-7.261347466865555,1.2790361613035202,2.5809243154525756,3.1404017662256956,,,44.18,1.0,4
embed_dim16,2,16,-11.763657664582134,1.1836621177196502,2.5577898621559143,2.6834818690642717,,,130.46,0.97,4
embed_dim16,2,32,-27.736313666068018,1.0977513790130615,2.613761532306671,1.7509723555250094,,,394.45,0.45,4
embed_dim16,2,50,-39.429861723706125,1.0864976251125336,2.6482886600494386,2.2832088516596705,,,436.24,0.35,4
embed_dim16,2,100,-69.18313056051731,1.0703623801469804,2.635283098220825,1.537000989998132,,,460.43,0.23,4
embed_dim16,3,4,-6.155417655017227,1.6713569700717925,2.781648635864258,1.8657169627398253,,,31.02,1.0,4
embed_dim16,3,8,-7.958349735001102,1.313188983798027,2.630842206478119,2.2423105623107404,,,45.76,1.0,4
embed_dim16,3,16,-9.566720763370395,1.1979647010564805,2.590433077812195,2.0442781488224866,,,55.62,1.0,4
embed_dim16,3,32,-11.582377317920328,1.257332875728607,2.7283761048316957,2.197912873766618,,,70.04,1.0,4
embed_dim16,3,50,-14.108307704254985,1.27682635307312,2.7979665398597717,3.125965307378024,,,80.63,1.0,4
embed_dim16,3,100,-23.938778910934925,1.298838528394699,2.89974285364151,2.404336704163626,,,117.31,1.0,4
embed_dim16,4,4,-6.079280089205131,1.7077315843105316,2.8041647410392763,2.956283461805433,,,30.64,1.0,4
embed_dim16,4,8,-8.016549667511136,1.318590486049652,2.573081843852997,1.7682565264590084,,,45.34,1.0,4
embed_dim16,4,16,-9.079689329434187,1.2114735454320908,2.5161596584320067,1.7193802170245909,,,54.89,1.0,4
embed_dim16,4,32,-11.883378497697413,1.188003659248352,2.4877677893638612,1.1051698846952058,,,72.73,1.0,4
embed_dim16,4,50,-14.910902618430555,1.1960111981630326,2.5792679047584532,1.9415032113969326,,,87.72,1.0,4
embed_dim16,4,100,-23.76891261860728,1.2406849837303162,2.6671402716636656,2.3513377500030446,,,117.26,1.0,4
embed_dim16,5,4,-5.311602730397135,1.6633555114269256,2.7101111078262328,1.84537429202348,,,46.35,0.96,4
embed_dim16,5,8,-11.183416019128636,1.4214260745048524,2.8859445357322695,1.9840130601869896,,,56.75,0.99,4
embed_dim16,5,16,-11.690173721723259,1.1332224798202515,2.359223701953888,1.106544644688256,,,78.53,0.95,4
embed_dim16,5,32,-20.081076324395834,1.085145833492279,2.2919352984428407,2.632417850182392,,,219.46,0.65,4
embed_dim16,5,50,-36.03420427158475,1.0696565639972686,2.2622902846336364,1.9728558273866772,,,364.42,0.31,4
embed_dim16,5,100,-74.32058831386269,1.0580293726921082,2.237524998188019,2.293273667371273,,,482.64,0.04,4
embed_dim32,1,4,-6.088656092705205,1.771079385280609,2.9048634719848634,3.477313768360764,,,30.57,1.0,4
embed_dim32,1,8,-8.23167740566656,1.325824224948883,2.6655101919174196,2.6163708159700034,,,44.28,1.0,4
embed_dim32,1,16,-9.69779680158943,1.1606190180778504,2.5867268109321593,2.4181474658544175,,,53.11,1.0,4
embed_dim32,1,32,-11.980423225536942,1.1133829402923583,2.540723392963409,3.570312794982456,,,68.44,1.0,4
embed_dim32,1,50,-14.804331027865409,1.1461298543214797,2.613434522151947,1.4574730468317867,,,85.4,1.0,4
embed_dim32,1,100,-23.26088247090578,1.1920687937736512,2.7179408359527586,1.8066893233878536,,,109.28,1.0,4
embed_dim32,2,4,-5.5361699053552,1.6662233769893646,2.828104691505432,1.8497091966401786,,,28.47,1.0,4
embed_dim32,2,8,-7.606247623721138,1.2962668812274933,2.5885421061515808,3.7337050960864873,,,42.1,1.0,4
embed_dim32,2,16,-9.31256347483024,1.163820487856865,2.454047210216522,1.3050623281759908,,,73.86,0.96,4
embed_dim32,2,32,-19.54776172950864,1.085602147579193,2.4267614555358885,1.2846726356027647,,,256.19,0.55,4
embed_dim32,2,50,-34.88618546396494,1.0563548445701598,2.4051257300376894,1.3861099914930761,,,425.31,0.17,4
embed_dim32,2,100,-63.81344708345831,1.0520059764385223,2.4727531838417054,1.8896272056519985,,,491.22,0.02,4
embed_dim32,3,4,-5.703456162912771,1.7608469223976135,2.896685426235199,2.2777957780472935,,,29.49,1.0,4
embed_dim32,3,8,-18.092507008351387,2.94816205739975,5.837578730583191,4.0431315668765455,,,83.72,0.92,4
embed_dim32,3,16,-15.858117183968425,2.033179599046707,4.3321018075943,2.1771761771757157,,,112.96,0.95,4
embed_dim32,3,32,-22.812987597733738,1.4401514393091202,3.0502262115478516,1.8164499453105964,,,272.64,0.85,4
embed_dim32,3,50,-38.143774049505595,1.3843605881929397,2.970292315483093,1.878988931173086,,,385.6,0.54,4
embed_dim32,3,100,-70.60670773662626,1.100401366353035,2.5951815366744997,0.9189798531249166,,,468.26,0.17,4
embed_dim32,4,4,-5.2113748494628815,1.7353661262989044,2.871709635257721,2.0241168935317546,,,31.44,0.99,4
embed_dim32,4,8,-14.220492477389053,2.666177880167961,5.248654308319092,4.089163058702834,,,80.44,0.91,4
embed_dim32,4,16,-14.395550430677831,1.608423980474472,3.452234170436859,3.2027312106336465,,,169.66,0.73,4
embed_dim32,4,32,-27.979532273598014,1.4075262838602065,3.084645478725433,2.0298494974465573,,,415.59,0.19,4
embed_dim32,4,50,-40.28724252797663,1.1653563898801804,2.756868691444397,2.1821033713519573,,,500.0,0.0,4
embed_dim32,4,100,-68.7009922669828,1.5971369165182114,3.6707166028022766,2.5285704884234814,,,500.0,0.0,4
embed_dim32,5,4,-5.057741331402212,1.7336137807369232,2.8898139023780822,2.2517374970484525,,,30.12,1.0,4
embed_dim32,5,8,-16.609419902237132,3.0907759445905687,6.1090501999855045,3.330354289151728,,,89.07,0.91,4
embed_dim32,5,16,-11.800344957634806,1.3721561419963837,2.8061174964904785,2.2022278801340143,,,110.23,0.89,4
embed_dim32,5,32,-19.852774995453657,1.0759465235471726,2.2628130316734314,1.7490934067429043,,,267.08,0.59,4
embed_dim32,5,50,-36.352390860542656,1.2812913423776626,2.661919357776642,2.6080848828852172,,,428.9,0.19,4
embed_dim32,5,100,-65.68787980467081,1.0508200442790985,2.2203004813194274,2.6362722135335206,,,496.0,0.02,4
embed_dim4,1,4,-6.707398114604875,1.76868856549263,2.953960177898407,4.169540031831712,,,36.94,0.99,4
embed_dim4,1,8,-10.373040674235671,1.3341800075769426,2.5355402040481567,3.600053034694865,,,101.48,0.89,4
embed_dim4,1,16,-21.703088172953574,1.1673393893241881,2.479284608364105,2.886251619737595,,,412.34,0.2,4
embed_dim4,1,32,-35.04313962839544,1.1026063454151154,2.5168702960014344,2.8620987873105332,,,500.0,0.0,4
