config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,0,-4.774268472567201,27,True,1.6764768362045288,2.613211154937744,1.0327684730291367,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,1,-4.210028916597366,26,True,1.4173598289489746,2.107163429260254,0.9142905473709106,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,2,-10.261532020755112,47,True,1.4579848051071167,2.8539845943450928,0.9617093801498413,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,3,-2.824524695985019,21,True,1.6491645574569702,2.1342856884002686,1.0312716662883759,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,4,-9.762009862810373,43,True,1.4677848815917969,2.630350351333618,0.950129434466362,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,5,-6.155121217481792,30,True,1.5740605592727661,2.3336877822875977,0.9841722398996353,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,6,-4.401571066118777,28,True,1.3563302755355835,2.5392839908599854,0.8222023919224739,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,7,-3.04421372897923,25,True,1.3647994995117188,2.5089194774627686,0.8760464712977409,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,8,-4.726341348141432,28,True,1.6185630559921265,2.778778314590454,1.0397792160511017,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,9,-3.9424128402024508,23,True,1.6758211851119995,2.7930610179901123,1.069510206580162,,
embedding_scaling_rendezvous_16agents_ppo,embed_dim4,1,16,4,0,10,-10.364049945957959,49,True,1.1530689001083374,2.185145378112793,0.7526932805776596,,
