figure,config,environment,size,variant,iteration,iqm,ci_low,ci_high,reps
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,1,0.12914392625671225,0.06181233830004235,0.19290555997836234,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,11,0.4171302391400953,0.2229846918754733,0.7350328643768788,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,21,0.9477687122436186,0.9450198742717558,0.9565811468457511,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,31,0.9733668151583729,0.9661678762308186,0.9795874818421882,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,41,0.9811908846345864,0.9778182894932944,0.9858280464489638,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,51,0.9858782159287746,0.9805482297910606,0.9896491835671504,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,61,0.987094204048406,0.9836425338055084,0.9889879303407763,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,71,0.9882508486298244,0.9866985972392529,0.9934826446928485,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,81,0.9893186062273064,0.9879636637354586,0.9911226422739032,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,91,0.9867181711633967,0.9842290725856874,0.9893937590644607,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,101,0.986857969208681,0.9851234397704044,0.9947745059621022,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,111,0.9895282873434311,0.9837082668201692,0.9919694745074817,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,121,0.9856789091555088,0.9853464353236845,0.9898358926708842,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,131,0.9890548045473309,0.9858009730511127,0.9917035643538057,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,141,0.9905734564807319,0.9866627985603547,0.9932406778390449,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,151,0.9902036611046734,0.9878457380917011,0.9914184475219096,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,161,0.991868055079158,0.9867890283575944,0.9931655703759041,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,171,0.9892258036077782,0.9870240352630727,0.991080031112224,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,181,0.9900858063578122,0.9873966367382933,0.993556011637181,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,191,0.990964255771336,0.9867265518855272,0.995866196933891,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,201,0.9914430175503467,0.990528816249876,0.9937478508403429,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,211,0.9890462480008972,0.985687935748366,0.9919153234579655,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,221,0.9881998907765249,0.9865295684035583,0.9902853662329983,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,231,0.9893550231271419,0.9861802232372834,0.9935216252244601,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,241,0.9905988496221371,0.9877130907073935,0.9938426740214199,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,251,0.9884078746209486,0.9862894682650384,0.9912971812163907,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,261,0.9879481323523511,0.9869971773917868,0.9922366296106597,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,271,0.9916545831059794,0.9888449908540098,0.993834959730116,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,281,0.9908151142240671,0.9871538106141046,0.993865863687283,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,291,0.9903175257742016,0.9891383253451744,0.9935747007680568,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,301,0.9909772646428673,0.9904119186111172,0.9927404236658725,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,311,0.9902220673569321,0.987086308970016,0.9914669183120811,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,321,0.989180508289599,0.9876711084011859,0.9907712765460791,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,331,0.9918459628972521,0.9909134000095673,0.9934240718039004,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,341,0.991161758218587,0.98644253820934,0.9935909701878565,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,351,0.9903947757415533,0.9874911777497225,0.9918784329668617,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,361,0.9920674334582893,0.9902197617898594,0.9949982678222117,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,371,0.9916303009189419,0.9899337105368679,0.994090901071181,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,381,0.991676782342199,0.9886515777397465,0.9955799670207206,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,391,0.9901909797768035,0.9875538187025897,0.9944916840627446,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,401,0.9896443278387119,0.9879458218224956,0.9937678742508099,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,411,0.9890413412266931,0.985701195594911,0.9941123168966947,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,421,0.988496801307147,0.9869418140053413,0.9918712255883677,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,431,0.9891892406603361,0.9862576398123416,0.9905944121853877,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,441,0.9928440501145829,0.9892533335816426,0.99548543380795,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,451,0.9911685969332195,0.9874908778558505,0.9932015945955545,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,461,0.9919469179509041,0.9907489837259563,0.9931104168442723,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,471,0.9910112554509061,0.988322811106638,0.9924052536250757,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,481,0.9918081259325805,0.9897429815791047,0.993099848243917,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,491,0.9913435662198687,0.9879687130124245,0.9922553350478216,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,500,0.9893722751779265,0.9839261585058731,0.9938580090201242,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,1,0.08558593936109893,0.008299542348197292,0.2145681526328621,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,11,0.352463773284634,0.21723952784033934,0.5020656626097889,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,21,0.918255876963847,0.8753955467240332,0.9595205194115355,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,31,0.9704678963617086,0.959798258003417,0.9796554209201277,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,41,0.9836781647069013,0.9695438474823198,0.9888487420088014,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,51,0.982344662854481,0.9780424839130936,0.9846688431985521,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,61,0.9815767658074829,0.9776059674677765,0.9880780360267657,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,71,0.9871529045517677,0.9813154802583628,0.9944202263718337,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,81,0.9835166381807899,0.9805055902706226,0.9886508545914027,2000
